%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Port Number, Selector Dynamic Pressure {P#-Pstatic} (Pa), Airspeed Dynamic {qinf} (Pa), Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Density (kg/m^3)
1,29.53105835,30.10267753,8.07560864,-0.40405261,-49.03523321,-30.09360199,1.37796954,0,0,0.92317619
1,29.6111161,30.10267753,8.07317109,-0.42487577,-49.03523321,-30.09360199,1.37796954,0,0,0.92373375
1,29.69117385,29.94461837,8.0512962,-0.44569893,-49.03523321,-30.09360199,1.37796954,0,0,0.92388341
1,29.7712316,30.10267753,8.0771977,-0.42487577,-49.03523321,-30.09360199,1.37796954,0,0,0.92281298
1,29.85128935,30.10267753,8.08381332,-0.44569893,-49.03523321,-30.09360199,1.37796954,0,0,0.92130318
1,29.85128935,30.10267753,8.08510727,-0.43528735,-49.03523321,-30.09360199,1.37796954,0,0,0.92100831
1,29.85128935,30.10267753,8.0713016,-0.44569893,-49.03523321,-30.09360199,1.37796954,0,0,0.92416171
1,29.85128935,30.10267753,8.09020891,-0.47693367,-49.03523321,-30.09360199,1.37796954,0,0,0.91984711
1,30.0914626,30.10267753,8.07936216,-0.44569893,-49.03523321,-30.09360199,1.37796954,0,0,0.92231861
1,30.17152035,30.18170711,8.08676654,-0.44569893,-49.03523321,-30.09360199,1.37796954,0,0,0.92304736
2,20.56459066,28.91723387,7.9238991,-0.42487577,-49.03523321,-30.09360199,1.37796954,0,0,0.92110443
2,20.40447518,28.8382043,7.9117017,-0.44569893,-49.03523321,-30.09360199,1.37796954,0,0,0.92142163
2,20.32441743,28.91723387,7.90509454,-0.45611051,-49.03523321,-30.09360199,1.37796954,0,0,0.92549187
2,20.32441743,28.91723387,7.92190356,-0.45611051,-49.03523321,-30.09360199,1.37796954,0,0,0.92156854
2,20.64464841,28.99626345,7.92815417,-0.45611051,-49.03523321,-30.09360199,1.37796954,0,0,0.92263061
2,20.48453292,29.07529303,7.9364364,-0.45611051,-49.03523321,-30.09360199,1.37796954,0,0,0.92321535
2,20.40447518,29.07529303,7.94154818,-0.43528735,-49.03523321,-30.09360199,1.37796954,0,0,0.92202723
2,20.24435969,28.99626345,7.92903397,-0.44569893,-49.03523321,-30.09360199,1.37796954,0,0,0.92242587
2,20.16430195,28.91723387,7.90755813,-0.45611051,-49.03523321,-30.09360199,1.37796954,0,0,0.92491528
2,20.24435969,28.91723387,7.91872983,-0.43528735,-49.03523321,-30.09360199,1.37796954,0,0,0.9223074
3,-4.0131337,28.44305642,7.85913881,-0.47693367,-49.03523321,-30.09360199,1.37796954,0,0,0.92099302
3,-4.09319143,28.52208599,7.86463569,-0.47693367,-49.03523321,-30.09360199,1.37796954,0,0,0.92226146
3,-4.25330688,28.36402684,7.84098562,-0.47693367,-49.03523321,-30.09360199,1.37796954,0,0,0.9226916
3,-4.25330688,28.28499726,7.83115013,-0.50816841,-49.03523321,-30.09360199,1.37796954,0,0,0.92243344
3,-4.25330688,28.20596769,7.80123692,-0.51857999,-49.03523321,-30.09360199,1.37796954,0,0,0.92692387
3,-4.17324915,28.04790854,7.80117969,-0.47693367,-49.03523321,-30.09360199,1.37796954,0,0,0.92174314
3,-4.09319143,28.36402684,7.84100392,-0.48734525,-49.03523321,-30.09360199,1.37796954,0,0,0.9226873
3,-4.17324915,28.36402684,7.82616675,-0.49775683,-49.03523321,-30.09360199,1.37796954,0,0,0.92618915
3,-4.3333646,28.28499726,7.83265488,-0.48734525,-49.03523321,-30.09360199,1.37796954,0,0,0.92207905
3,-4.09319143,28.52208599,7.84340281,-0.48734525,-49.03523321,-30.09360199,1.37796954,0,0,0.92726153
4,-34.11483406,29.94461837,8.04587481,-0.51857999,-49.03523321,-30.09360199,1.37796954,0,0,0.92512888
4,-34.03477636,30.02364795,8.06810841,-0.51857999,-49.03523321,-30.09360199,1.37796954,0,0,0.92246523
4,-34.03477636,30.18170711,8.08449595,-0.51857999,-49.03523321,-30.09360199,1.37796954,0,0,0.92356592
4,-34.11483406,30.10267753,8.08805107,-0.50816841,-49.03523321,-30.09360199,1.37796954,0,0,0.920338
4,-34.11483406,30.33976626,8.10452127,-0.48734525,-49.03523321,-30.09360199,1.37796954,0,0,0.92382028
4,-34.19489176,29.94461837,8.06165059,-0.50816841,-49.03523321,-30.09360199,1.37796954,0,0,0.92151166
4,-34.19489176,30.10267753,8.07593423,-0.52899157,-49.03523321,-30.09360199,1.37796954,0,0,0.92310175
4,-34.19489176,30.10267753,8.0989209,-0.52899157,-49.03523321,-30.09360199,1.37796954,0,0,0.91786922
4,-34.35500717,30.10267753,8.09510669,-0.47693367,-49.03523321,-30.09360199,1.37796954,0,0,0.91873438
4,-34.27494946,30.18170711,8.08117792,-0.49775683,-49.03523321,-30.09360199,1.37796954,0,0,0.92432449
5,-65.9777955,30.97200289,8.19331966,-0.48734525,-49.03523321,-30.09360199,1.37796954,0,0,0.9227403
5,-66.13791086,30.73491415,8.16577952,-0.48734525,-49.03523321,-30.09360199,1.37796954,0,0,0.92186367
5,-66.13791086,30.97200289,8.19884233,-0.50816841,-49.03523321,-30.09360199,1.37796954,0,0,0.92149762
5,-66.29802622,30.65588457,8.16893443,-0.51857999,-49.03523321,-30.09360199,1.37796954,0,0,0.91878316
5,-66.29802622,30.73491415,8.17980776,-0.50816841,-49.03523321,-30.09360199,1.37796954,0,0,0.91870442
5,-66.45814158,30.73491415,8.16508897,-0.48734525,-49.03523321,-30.09360199,1.37796954,0,0,0.92201961
5,-66.45814158,30.65588457,8.1580289,-0.47693367,-49.03523321,-30.09360199,1.37796954,0,0,0.92124123
5,-66.77837231,30.49782542,8.16690518,-0.50816841,-49.03523321,-30.09360199,1.37796954,0,0,0.91450028
5,-66.69831463,30.576855,8.14137061,-0.49775683,-49.03523321,-30.09360199,1.37796954,0,0,0.9226304
5,-66.93848767,30.33976626,8.10973691,-0.50816841,-49.03523321,-30.09360199,1.37796954,0,0,0.92263239
6,-76.62546667,31.13006204,8.22520738,-0.52899157,-49.03523321,-30.09360199,1.37796954,0,0,0.92027213
6,-76.545409,31.20909162,8.22515215,-0.50816841,-49.03523321,-30.09360199,1.37796954,0,0,0.9226208
6,-76.38529365,31.13006204,8.21167992,-0.52899157,-49.03523321,-30.09360199,1.37796954,0,0,0.92330664
6,-76.545409,31.13006204,8.22658106,-0.54981473,-49.03523321,-30.09360199,1.37796954,0,0,0.91996482
6,-76.545409,31.05103246,8.19782326,-0.54981473,-49.03523321,-30.09360199,1.37796954,0,0,0.92407866
6,-76.38529365,31.2881212,8.23875953,-0.56022631,-49.03523321,-30.09360199,1.37796954,0,0,0.92190427
6,-76.30523597,31.2881212,8.23750692,-0.53940315,-49.03523321,-30.09360199,1.37796954,0,0,0.92218467
6,-76.38529365,31.36715078,8.25094871,-0.53940315,-49.03523321,-30.09360199,1.37796954,0,0,0.92150414
6,-76.30523597,31.52520994,8.27654553,-0.56022631,-49.03523321,-30.09360199,1.37796954,0,0,0.92042788
6,-76.14512062,31.36715078,8.25273585,-0.54981473,-49.03523321,-30.09360199,1.37796954,0,0,0.92110508
7,-70.22085254,29.31238176,7.96974317,-0.52899157,-49.03523321,-30.09360199,1.37796954,0,0,0.92298034
7,-70.46102557,29.23335218,7.94539168,-0.50816841,-49.03523321,-30.09360199,1.37796954,0,0,0.92614288
7,-70.46102557,28.99626345,7.92036378,-0.53940315,-49.03523321,-30.09360199,1.37796954,0,0,0.92444648
7,-70.30091022,29.07529303,7.92205794,-0.52899157,-49.03523321,-30.09360199,1.37796954,0,0,0.92656964
7,-70.22085254,29.47044091,8.00564133,-0.53940315,-49.03523321,-30.09360199,1.37796954,0,0,0.9196538
