%Sampling Frequency (Hz): 250
%Filter Frequency (Hz): 10
%Air Density (kg/m^3):  989.353838E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,167.77552748,196.64977213,19.93819780,0.00033318,-0.02706089,0.69919423,0.00105260,0.00000000,0.00000000,0.98935384
1.00000000,167.93564324,196.96589109,19.95421692,0.03156889,-0.02370089,0.70096110,0.00114151,0.00000000,0.00000000,0.98935384
1.00000000,168.09575899,197.04492083,19.95821969,-0.01007872,-0.01026086,0.69389363,0.00096370,0.00000000,0.00000000,0.98935384
1.00000000,168.17581687,197.44006953,19.97822151,0.01074508,-0.01698088,0.68859303,0.00087480,0.00000000,0.00000000,0.98935384
1.00000000,168.33593262,197.75618849,19.99420856,0.00033318,-0.00690086,0.68152556,0.00114151,0.00000000,0.00000000,0.98935384
1.00000000,168.25587474,197.91424797,20.00219729,0.03156889,-0.02706089,0.68152556,0.00105260,0.00000000,0.00000000,0.98935384
1.00000000,168.09575899,198.15133719,20.01417442,0.03156889,-0.01026086,0.68329243,0.00096370,0.00000000,0.00000000,0.98935384
1.00000000,167.85558536,197.91424797,20.00219729,0.04198079,-0.04050091,0.68682616,0.00114151,0.00000000,0.00000000,0.98935384
1.00000000,167.85558536,197.83521823,19.99820333,0.03156889,-0.04050091,0.68505930,0.00149712,0.00000000,0.00000000,0.98935384
1.00000000,167.53535385,198.23036693,20.01816520,0.03156889,-0.03714091,0.68682616,0.00140822,0.00000000,0.00000000,0.98935384
1.00000000,167.37523810,197.99327771,20.00619046,0.04198079,-0.03378090,0.69566050,0.00078590,0.00000000,0.00000000,0.98935384
1.00000000,166.89489084,197.75618849,19.99420856,0.05239269,-0.02034088,0.69919423,0.00114151,0.00000000,0.00000000,0.98935384
1.00000000,166.65471721,197.59812901,19.98621663,0.03156889,-0.03042090,0.69742736,0.00114151,0.00000000,0.00000000,0.98935384
1.00000000,166.41454359,197.28201005,19.97022319,0.02115699,-0.02370089,0.69389363,0.00131931,0.00000000,0.00000000,0.98935384
1.00000000,166.09431208,197.12395057,19.96222166,0.03156889,-0.03042090,0.69566050,0.00114151,0.00000000,0.00000000,0.98935384
1.00000000,165.93419633,197.20298031,19.96622282,0.03156889,-0.02034088,0.70626170,0.00123041,0.00000000,0.00000000,0.98935384
1.00000000,165.77408058,196.88686135,19.95021335,0.04198079,-0.01026086,0.69919423,0.00105260,0.00000000,0.00000000,0.98935384
1.00000000,165.37379121,196.64977213,19.93819780,0.02115699,-0.03042090,0.69389363,0.00158602,0.00000000,0.00000000,0.98935384
1.00000000,165.29373334,196.41268292,19.92617501,0.03156889,-0.01698088,0.69919423,0.00158602,0.00000000,0.00000000,0.98935384
1.00000000,165.13361759,196.25462344,19.91815579,0.01074508,-0.01362087,0.70096110,0.00123041,0.00000000,0.00000000,0.98935384
1.00000000,165.13361759,196.25462344,19.91815579,0.01074508,-0.01698088,0.70802856,0.00114151,0.00000000,0.00000000,0.98935384
1.00000000,165.45384909,195.93850449,19.90210765,0.00033318,-0.00018085,0.70626170,0.00123041,0.00000000,0.00000000,0.98935384
1.00000000,165.13361759,195.93850449,19.90210765,0.01074508,-0.00354085,0.70802856,0.00149712,0.00000000,0.00000000,0.98935384
1.00000000,165.21367546,195.70141527,19.89006304,0.01074508,-0.01026086,0.70802856,0.00105260,0.00000000,0.00000000,0.98935384
1.00000000,165.37379121,195.62238554,19.88604655,-0.01007872,-0.00690086,0.70802856,0.00149712,0.00000000,0.00000000,0.98935384
1.00000000,200.11891653,236.16465258,21.84975766,-0.03090253,0.00989917,0.84407730,0.00176383,0.00000000,0.00000000,0.98935384
1.00000000,200.43914817,236.16465258,21.84975766,-0.01007872,0.01325917,0.83524297,0.00238615,0.00000000,0.00000000,0.98935384
1.00000000,200.51920608,236.32271214,21.85706821,-0.03090253,-0.00354085,0.83524297,0.00203054,0.00000000,0.00000000,0.98935384
1.00000000,200.75937982,236.24368236,21.85341324,-0.04131443,0.00317916,0.83700983,0.00185273,0.00000000,0.00000000,0.98935384
1.00000000,200.99955355,236.24368236,21.85341324,-0.04131443,-0.00018085,0.83347610,0.00220834,0.00000000,0.00000000,0.98935384
1.00000000,201.07961146,236.40174193,21.86072256,0.00033318,0.00653916,0.83170923,0.00238615,0.00000000,0.00000000,0.98935384
1.00000000,200.99955355,236.71786106,21.87533389,0.01074508,0.00653916,0.82640863,0.00220834,0.00000000,0.00000000,0.98935384
1.00000000,201.07961146,236.95495042,21.88628598,-0.04131443,0.00317916,0.83524297,0.00185273,0.00000000,0.00000000,0.98935384
1.00000000,201.07961146,236.95495042,21.88628598,-0.02049062,-0.01026086,0.82464177,0.00176383,0.00000000,0.00000000,0.98935384
1.00000000,200.67932190,236.71786106,21.87533389,-0.02049062,-0.01026086,0.83700983,0.00220834,0.00000000,0.00000000,0.98935384
1.00000000,200.83943773,236.63883128,21.87168197,-0.02049062,-0.02034088,0.82994237,0.00203054,0.00000000,0.00000000,0.98935384
1.00000000,200.59926399,237.03398020,21.88993546,-0.01007872,-0.01698088,0.82994237,0.00203054,0.00000000,0.00000000,0.98935384
1.00000000,200.43914817,236.87592063,21.88263589,0.01074508,-0.02034088,0.84407730,0.00229725,0.00000000,0.00000000,0.98935384
1.00000000,200.19897444,237.11300998,21.89358433,0.01074508,-0.00690086,0.83700983,0.00194163,0.00000000,0.00000000,0.98935384
1.00000000,199.87874279,236.71786106,21.87533389,-0.01007872,-0.01026086,0.83347610,0.00185273,0.00000000,0.00000000,0.98935384
1.00000000,199.63856906,236.63883128,21.87168197,-0.02049062,-0.02370089,0.81580743,0.00211944,0.00000000,0.00000000,0.98935384
1.00000000,199.55851115,236.71786106,21.87533389,0.01074508,-0.02034088,0.81757430,0.00229725,0.00000000,0.00000000,0.98935384
1.00000000,199.55851115,236.63883128,21.87168197,0.01074508,-0.01362087,0.82287490,0.00194163,0.00000000,0.00000000,0.98935384
1.00000000,199.15822160,236.40174193,21.86072256,0.00033318,-0.01362087,0.82287490,0.00211944,0.00000000,0.00000000,0.98935384
1.00000000,199.31833742,236.40174193,21.86072256,0.00033318,-0.00354085,0.82817550,0.00194163,0.00000000,0.00000000,0.98935384
