%Sampling Frequency (Hz): 250
%Filter Frequency (Hz): 10
%Air Density (kg/m^3):  985.300006E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,178.30409930,198.91950613,20.09414081,0.08729341,-0.00951477,0.59299972,0.00065677,0.00000000,0.00000000,0.98530001
1.00000000,178.38415718,198.91950613,20.09414081,0.08729341,-0.01287478,0.59123286,0.00047896,0.00000000,0.00000000,0.98530001
1.00000000,178.14398352,198.60338717,20.07816786,0.09770532,0.00056525,0.58769912,0.00065677,0.00000000,0.00000000,0.98530001
1.00000000,177.98386775,198.52435743,20.07417263,0.07688151,0.00392525,0.58416539,0.00056787,0.00000000,0.00000000,0.98530001
1.00000000,177.90380986,198.52435743,20.07417263,0.05605770,-0.00615477,0.58063165,0.00065677,0.00000000,0.00000000,0.98530001
1.00000000,177.82375197,198.60338717,20.07816786,0.08729341,0.01400527,0.58769912,0.00030116,0.00000000,0.00000000,0.98530001
1.00000000,177.98386775,198.44532769,20.07017661,0.09770532,-0.00279476,0.58239852,0.00065677,0.00000000,0.00000000,0.98530001
1.00000000,177.82375197,198.20823846,20.05818378,0.08729341,0.00392525,0.58416539,0.00083458,0.00000000,0.00000000,0.98530001
1.00000000,177.74369408,198.20823846,20.05818378,0.03523389,-0.00615477,0.59476659,0.00074567,0.00000000,0.00000000,0.98530001
1.00000000,177.82375197,198.05017898,20.05018457,0.08729341,-0.00279476,0.59830032,0.00074567,0.00000000,0.00000000,0.98530001
1.00000000,177.90380986,198.05017898,20.05018457,0.11852913,0.00056525,0.60536779,0.00039006,0.00000000,0.00000000,0.98530001
1.00000000,177.74369408,197.97114924,20.04618376,0.11852913,-0.00279476,0.60360092,0.00074567,0.00000000,0.00000000,0.98530001
1.00000000,177.66363620,197.89211950,20.04218216,0.10811722,-0.01623478,0.59830032,0.00074567,0.00000000,0.00000000,0.98530001
1.00000000,177.66363620,197.65503028,20.03017257,0.09770532,-0.00615477,0.60890152,0.00065677,0.00000000,0.00000000,0.98530001
1.00000000,177.66363620,197.65503028,20.03017257,0.12894103,-0.01623478,0.60360092,0.00056787,0.00000000,0.00000000,0.98530001
1.00000000,177.50352042,197.65503028,20.03017257,0.09770532,-0.01287478,0.58946599,0.00083458,0.00000000,0.00000000,0.98530001
1.00000000,177.74369408,197.73406002,20.03417657,0.16017675,-0.00615477,0.58769912,0.00047896,0.00000000,0.00000000,0.98530001
1.00000000,177.50352042,197.65503028,20.03017257,0.09770532,-0.00615477,0.58769912,0.00030116,0.00000000,0.00000000,0.98530001
1.00000000,177.58357831,197.49697080,20.02216217,0.11852913,-0.01959479,0.58593225,0.00083458,0.00000000,0.00000000,0.98530001
1.00000000,177.50352042,197.33891133,20.01414856,0.08729341,0.00056525,0.59653346,0.00056787,0.00000000,0.00000000,0.98530001
1.00000000,177.50352042,197.49697080,20.02216217,0.10811722,-0.02295479,0.60360092,0.00056787,0.00000000,0.00000000,0.98530001
1.00000000,177.50352042,197.41794106,20.01815576,0.10811722,-0.01287478,0.60006719,0.00083458,0.00000000,0.00000000,0.98530001
1.00000000,177.26334676,197.41794106,20.01815576,0.13935294,-0.02295479,0.60713466,0.00056787,0.00000000,0.00000000,0.98530001
1.00000000,177.34340465,197.18085185,20.00613174,0.10811722,-0.00951477,0.61066839,0.00083458,0.00000000,0.00000000,0.98530001
