%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Air Density (kg/m^3):  NaN,,,,,,,,,,
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1,-0.32855691,-0.05247562,0,-5.04127448,0.01913039,-0.31663492,0.00168721,0,0,NaN
1,-0.5687301,-0.21053473,0,-4.03132093,0.01577039,-0.26539576,0.00168721,0,0,NaN
1,-0.08838373,0.10558348,0,-2.92766002,0.01241038,-0.18942046,0.00106489,0,0,NaN
1,0.07173172,0.18461304,0,-2.06347248,0.03257042,-0.12934697,0.00097599,0,0,NaN
1,0.07173172,-0.36859384,0,-1.03269428,0.02921041,-0.06927348,0.00070928,0,0,NaN
1,-0.08838373,-0.05247562,0,0.00849611,0.03929043,-0.00213252,0.00097599,0,0,NaN
1,-0.08838373,-0.13150518,0,1.01845109,0.0258504,0.03850542,0.00106489,0,0,NaN
1,0.07173172,-0.21053473,0,2.04923018,0.04601044,0.11624758,-0.00000194,0,0,NaN
1,-0.40861464,-0.13150518,0,3.02795,0.05273045,0.1851554,0.00062038,0,0,NaN
1,0.63213582,0.4217017,0,4.07955352,0.04937044,0.22932708,-0.00000194,0,0,NaN
1,0.07173172,0.10558348,0,5.07909774,0.04601044,0.28409996,0.00044257,0,0,NaN
1,0.07173172,0.34267215,0,5.99534687,0.05609045,0.36537585,0.00017586,0,0,NaN
1,-0.008326,-0.05247562,0,7.08859899,0.07289048,0.42191559,-0.00009085,0,0,NaN
1,-0.24849919,-0.21053473,0,7.99443673,0.09305051,0.48905654,-0.00009085,0,0,NaN
1,-0.008326,0.02655393,0,9.02521789,0.09977052,0.54382941,-0.00000194,0,0,NaN
1,-0.24849919,0.02655393,0,9.96229194,0.09641052,0.61273722,-0.00044646,0,0,NaN
1,-0.08838373,-0.05247562,0,11.04513339,0.09977052,0.67104383,0.00035367,0,0,NaN
1,0.23184718,0.10558348,0,11.982208,0.10985054,0.72758357,0.00017586,0,0,NaN
1,-0.16844146,0.02655393,0,13.03381426,0.12665056,0.79295764,0.00017586,0,0,NaN
1,-0.16844146,0.02655393,0,14.054185,0.1468106,0.83536245,0.00062038,0,0,NaN
1,-0.24849919,0.18461304,0,15.03290825,0.16697063,0.89720278,0.00053147,0,0,NaN
1,0.23184718,0.34267215,0,16.02204375,0.16361062,0.96080998,0.00035367,0,0,NaN
1,-0.08838373,-0.13150518,0,16.94870779,0.18041065,1.01911658,0.0012427,0,0,NaN
1,-0.08838373,-0.05247562,0,18.01072758,0.19049067,1.08272378,0.00062038,0,0,NaN
