%Sampling Frequency (Hz): 5000
%Filter Frequency (Hz): 1000
%Air Density (kg/m^3):  951.464088E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,269.23886634,252.89010541,23.05603995,-0.10148798,60.69910141,0.70902676,0.24332986,0.00000000,0.00000000,0.95146409
1.00000000,269.23886634,252.81107560,23.05243709,-0.09107639,60.69910141,0.75407540,0.24350764,0.00000000,0.00000000,0.95146409
1.00000000,269.47904031,252.65301600,23.04522967,-0.08066480,60.69910141,0.80619049,0.24066314,0.00000000,0.00000000,0.95146409
1.00000000,270.03944623,252.81107560,23.05243709,-0.08066480,60.69910141,0.82473993,0.23604082,0.00000000,0.00000000,0.95146409
1.00000000,270.51979416,252.65301600,23.04522967,-0.07025322,60.69910141,0.83092307,0.23248519,0.00000000,0.00000000,0.95146409
1.00000000,270.75996813,252.57398620,23.04162512,-0.11189956,60.69910141,0.80265726,0.23115183,0.00000000,0.00000000,0.95146409
1.00000000,270.92008411,252.73204580,23.04883366,-0.09107639,60.69910141,0.78410782,0.23097405,0.00000000,0.00000000,0.95146409
1.00000000,270.75996813,253.12719481,23.06684516,-0.10148798,60.69910141,0.79912404,0.23106294,0.00000000,0.00000000,0.95146409
1.00000000,270.67991014,253.28525442,23.07404582,-0.11189956,60.69910141,0.82562323,0.23106294,0.00000000,0.00000000,0.95146409
1.00000000,270.51979416,252.96913521,23.05964225,-0.08066480,60.69910141,0.81502355,0.23097405,0.00000000,0.00000000,0.95146409
1.00000000,270.43973617,252.89010541,23.05603995,-0.07025322,60.69910141,0.80619049,0.23150740,0.00000000,0.00000000,0.95146409
1.00000000,270.35967818,252.96913521,23.05964225,-0.05984163,60.69910141,0.78852436,0.23217408,0.00000000,0.00000000,0.95146409
1.00000000,270.43973617,252.73204580,23.04883366,-0.07025322,60.69910141,0.80530718,0.23328521,0.00000000,0.00000000,0.95146409
1.00000000,270.43973617,252.89010541,23.05603995,-0.09107639,60.69910141,0.80707380,0.23341855,0.00000000,0.00000000,0.95146409
1.00000000,269.95938824,253.04816501,23.06324399,-0.10148798,60.69910141,0.75937524,0.23475191,0.00000000,0.00000000,0.95146409
1.00000000,269.63915628,253.20622462,23.07044577,-0.07025322,60.69910141,0.67987764,0.23710751,0.00000000,0.00000000,0.95146409
1.00000000,269.23886634,253.28525442,23.07404582,-0.07025322,60.69910141,0.65602836,0.23946312,0.00000000,0.00000000,0.95146409
1.00000000,268.83857640,253.20622462,23.07044577,-0.07025322,60.69910141,0.67987764,0.24284096,0.00000000,0.00000000,0.95146409
1.00000000,268.75851842,253.04816501,23.06324399,-0.09107639,60.69910141,0.68517748,0.24608548,0.00000000,0.00000000,0.95146409
1.00000000,268.67846043,252.89010541,23.05603995,-0.04943005,60.69910141,0.64542868,0.24879664,0.00000000,0.00000000,0.95146409
1.00000000,268.67846043,252.73204580,23.04883366,-0.05984163,60.69910141,0.60126335,0.25199671,0.00000000,0.00000000,0.95146409
1.00000000,268.59840244,252.81107560,23.05243709,-0.04943005,60.69910141,0.55621471,0.25586346,0.00000000,0.00000000,0.95146409
1.00000000,268.67846043,252.65301600,23.04522967,-0.08066480,60.69910141,0.53236542,0.25817462,0.00000000,0.00000000,0.95146409
1.00000000,268.75851842,252.65301600,23.04522967,-0.08066480,60.69910141,0.50498292,0.25924131,0.00000000,0.00000000,0.95146409
1.00000000,268.75851842,252.57398620,23.04162512,-0.08066480,60.69910141,0.46346750,0.25919686,0.00000000,0.00000000,0.95146409
1.00000000,292.13545482,273.83300639,23.99173714,-0.09107639,60.69910141,-6.10040651,0.05817090,0.00000000,0.00000000,0.95146409
1.00000000,292.13545482,273.67494673,23.98481198,-0.10148798,60.69910141,-6.05535753,0.05608197,0.00000000,0.00000000,0.95146409
1.00000000,292.21551283,273.75397656,23.98827481,-0.09107639,60.69910141,-6.06330735,0.05461528,0.00000000,0.00000000,0.95146409
1.00000000,291.97533879,273.67494673,23.98481198,-0.10148798,60.69910141,-6.07302380,0.05381527,0.00000000,0.00000000,0.95146409
1.00000000,291.65510673,273.83300639,23.99173714,-0.09107639,60.69910141,-6.05712416,0.05061522,0.00000000,0.00000000,0.95146409
1.00000000,290.85452658,273.99106604,23.99866030,-0.09107639,60.69910141,-6.04564108,0.04768184,0.00000000,0.00000000,0.95146409
1.00000000,290.53429453,274.07009587,24.00212113,-0.08066480,60.69910141,-6.01649175,0.04790406,0.00000000,0.00000000,0.95146409
1.00000000,290.37417850,273.91203622,23.99519897,-0.09107639,60.69910141,-5.98910904,0.04919297,0.00000000,0.00000000,0.95146409
1.00000000,289.89383042,273.83300639,23.99173714,-0.10148798,60.69910141,-5.96260964,0.04994854,0.00000000,0.00000000,0.95146409
1.00000000,289.73371440,273.91203622,23.99519897,-0.08066480,60.69910141,-5.91402742,0.04901519,0.00000000,0.00000000,0.95146409
1.00000000,289.33342434,273.99106604,23.99866030,-0.08066480,60.69910141,-5.90342766,0.04839296,0.00000000,0.00000000,0.95146409
1.00000000,289.09325030,273.59591691,23.98134865,-0.11189956,60.69910141,-5.89812778,0.04950409,0.00000000,0.00000000,0.95146409
1.00000000,288.93313428,273.43785725,23.97442050,-0.04943005,60.69910141,-5.87957821,0.05270414,0.00000000,0.00000000,0.95146409
