%Sampling Frequency (Hz): 250
%Filter Frequency (Hz): 10
%Air Density (kg/m^3):  951.016405E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,267.85370364,251.89284479,23.01595020,-0.63219156,60.69910141,-2.46204812,0.02025918,0.00000000,0.00000000,0.95101641
1.00000000,267.85370364,251.89284479,23.01595020,-0.65301473,60.69910141,-2.50268034,0.02039252,0.00000000,0.00000000,0.95101641
1.00000000,267.93376163,252.12993420,23.02677931,-0.65301473,60.69910141,-2.49826379,0.02039252,0.00000000,0.00000000,0.95101641
1.00000000,268.09387760,252.20896400,23.03038789,-0.64260315,60.69910141,-2.46734797,0.01959250,0.00000000,0.00000000,0.95101641
1.00000000,268.41410955,252.12993420,23.02677931,-0.64260315,60.69910141,-2.40463303,0.01865916,0.00000000,0.00000000,0.95101641
1.00000000,268.33405157,251.81381499,23.01233936,-0.63219156,60.69910141,-2.32071867,0.01754803,0.00000000,0.00000000,0.95101641
1.00000000,268.25399358,252.20896400,23.03038789,-0.61136839,60.69910141,-2.22090477,0.01603689,0.00000000,0.00000000,0.95101641
1.00000000,268.57422553,252.28799380,23.03399590,-0.65301473,60.69910141,-2.12285749,0.01465909,0.00000000,0.00000000,0.95101641
1.00000000,268.65428351,252.36702360,23.03760334,-0.64260315,60.69910141,-2.01421052,0.01283684,0.00000000,0.00000000,0.95101641
1.00000000,268.73434150,252.44605340,23.04121022,-0.66342632,60.69910141,-1.91969649,0.01154793,0.00000000,0.00000000,0.95101641
1.00000000,268.73434150,252.36702360,23.03760334,-0.65301473,60.69910141,-1.83401556,0.01025903,0.00000000,0.00000000,0.95101641
1.00000000,268.81439949,252.52508321,23.04481654,-0.66342632,60.69910141,-1.75010126,0.00905901,0.00000000,0.00000000,0.95101641
1.00000000,268.81439949,252.28799380,23.03399590,-0.64260315,60.69910141,-1.67502004,0.00768121,0.00000000,0.00000000,0.95101641
1.00000000,268.89445748,252.44605340,23.04121022,-0.64260315,60.69910141,-1.61937162,0.00710342,0.00000000,0.00000000,0.95101641
1.00000000,268.97451547,252.76217261,23.05563210,-0.64260315,60.69910141,-1.57343959,0.00665897,0.00000000,0.00000000,0.95101641
1.00000000,269.05457345,252.60411301,23.04842229,-0.61136839,60.69910141,-1.55400680,0.00745898,0.00000000,0.00000000,0.95101641
1.00000000,269.13463144,252.44605340,23.04121022,-0.65301473,60.69910141,-1.54782365,0.00905901,0.00000000,0.00000000,0.95101641
1.00000000,268.81439949,252.12993420,23.02677931,-0.65301473,60.69910141,-1.56107327,0.01057014,0.00000000,0.00000000,0.95101641
1.00000000,268.89445748,252.36702360,23.03760334,-0.64260315,60.69910141,-1.59287237,0.01363686,0.00000000,0.00000000,0.95101641
1.00000000,268.81439949,252.44605340,23.04121022,-0.65301473,60.69910141,-1.63262124,0.01692580,0.00000000,0.00000000,0.95101641
1.00000000,268.73434150,252.76217261,23.05563210,-0.63219156,60.69910141,-1.68473644,0.01999251,0.00000000,0.00000000,0.95101641
1.00000000,268.73434150,252.28799380,23.03399590,-0.62177997,60.69910141,-1.74391810,0.02261477,0.00000000,0.00000000,0.95101641
1.00000000,268.41410955,252.36702360,23.03760334,-0.63219156,60.69910141,-1.79514999,0.02483703,0.00000000,0.00000000,0.95101641
1.00000000,268.33405157,252.28799380,23.03399590,-0.62177997,60.69910141,-1.85874820,0.02657039,0.00000000,0.00000000,0.95101641
1.00000000,268.41410955,252.36702360,23.03760334,-0.65301473,60.69910141,-1.90998010,0.02661484,0.00000000,0.00000000,0.95101641
1.00000000,290.59017568,273.86313328,23.99870348,-0.74671901,46.59547003,12.43049539,0.02065919,0.00000000,0.00000000,0.95101641
1.00000000,290.67023370,273.86313328,23.99870348,-0.73630743,46.72481370,12.49762678,0.02239255,0.00000000,0.00000000,0.95101641
1.00000000,290.59017568,273.78410345,23.99524053,-0.74671901,46.87263508,12.56917471,0.02372590,0.00000000,0.00000000,0.95101641
1.00000000,290.51011767,273.70507362,23.99177708,-0.72589584,47.03053520,12.65397226,0.02532593,0.00000000,0.00000000,0.95101641
1.00000000,290.59017568,273.62604379,23.98831313,-0.74671901,47.20691304,12.74583629,0.02599260,0.00000000,0.00000000,0.95101641
1.00000000,290.35000164,273.54701397,23.98484867,-0.74671901,47.35809408,12.84830002,0.02581482,0.00000000,0.00000000,0.95101641
1.00000000,290.51011767,273.46798414,23.98138372,-0.71548425,47.53615177,12.95783023,0.02519259,0.00000000,0.00000000,0.95101641
1.00000000,290.51011767,273.62604379,23.98831313,-0.71548425,47.69405203,13.07089368,0.02363701,0.00000000,0.00000000,0.95101641
1.00000000,290.43005965,273.46798414,23.98138372,-0.73630743,47.84691294,13.18484045,0.02145920,0.00000000,0.00000000,0.95101641
1.00000000,290.26994363,273.62604379,23.98831313,-0.75713060,47.99641430,13.28995415,0.01874805,0.00000000,0.00000000,0.95101641
1.00000000,290.10982760,273.46798414,23.98138372,-0.76754219,48.11903902,13.36856860,0.01648134,0.00000000,0.00000000,0.95101641
1.00000000,290.10982760,273.38895431,23.97791827,-0.78836536,48.21646691,13.43216681,0.01425909,0.00000000,0.00000000,0.95101641
1.00000000,290.18988561,273.46798414,23.98138372,-0.71548425,48.32733313,13.49223180,0.01190350,0.00000000,0.00000000,0.95101641
1.00000000,290.10982760,273.38895431,23.97791827,-0.72589584,48.40292374,13.51519782,0.01110348,0.00000000,0.00000000,0.95101641
1.00000000,290.02976959,273.23089466,23.97098585,-0.73630743,48.49867187,13.53816385,0.00999236,0.00000000,0.00000000,0.95101641
1.00000000,289.78959555,273.07283500,23.96405144,-0.74671901,48.57930187,13.55229679,0.01021458,0.00000000,0.00000000,0.95101641
1.00000000,289.78959555,272.99380517,23.96058348,-0.76754219,48.70864586,13.56642973,0.01021458,0.00000000,0.00000000,0.95101641
1.00000000,289.70953754,272.99380517,23.96058348,-0.75713060,48.81783235,13.57172958,0.01088126,0.00000000,0.00000000,0.95101641
1.00000000,289.70953754,273.07283500,23.96405144,-0.75713060,48.93205824,13.58409590,0.01217017,0.00000000,0.00000000,0.95101641
1.00000000,289.54942151,273.07283500,23.96405144,-0.73630743,49.05468312,13.59292899,0.01363686,0.00000000,0.00000000,0.95101641
1.00000000,289.38930549,272.91477535,23.95711501,-0.73630743,49.17562821,13.60441200,0.01528133,0.00000000,0.00000000,0.95101641
1.00000000,289.14913145,272.59865604,23.94323614,-0.75713060,49.30329250,13.62649472,0.01617023,0.00000000,0.00000000,0.95101641
1.00000000,289.22918946,272.59865604,23.94323614,-0.72589584,49.44271536,13.62826134,0.01714802,0.00000000,0.00000000,0.95101641
1.00000000,289.22918946,272.67768587,23.94670661,-0.72589584,49.58717763,13.63797773,0.01759247,0.00000000,0.00000000,0.95101641
1.00000000,289.14913145,272.83574552,23.95364605,-0.74671901,49.71820158,13.65034405,0.01745914,0.00000000,0.00000000,0.95101641
1.00000000,315.40816469,297.09790692,24.99601575,-0.81960012,60.69910141,10.76722804,-0.10005369,0.00000000,0.00000000,0.95101641
1.00000000,315.72839687,296.93984721,24.98936577,-0.81960012,60.69910141,10.78842740,-0.10636489,0.00000000,0.00000000,0.95101641
1.00000000,315.64833883,297.17693678,24.99934007,-0.77795377,60.69910141,10.80432692,-0.11134273,0.00000000,0.00000000,0.95101641
1.00000000,315.96857101,297.33499650,25.00598740,-0.78836536,60.69910141,10.79902708,-0.11543168,0.00000000,0.00000000,0.95101641
1.00000000,316.12868710,297.49305621,25.01263296,-0.81960012,60.69910141,10.78842740,-0.11867616,0.00000000,0.00000000,0.95101641
1.00000000,316.04862905,297.33499650,25.00598740,-0.83001171,60.69910141,10.77782772,-0.12178732,0.00000000,0.00000000,0.95101641
1.00000000,316.04862905,297.17693678,24.99934007,-0.81960012,60.69910141,10.76192820,-0.12516514,0.00000000,0.00000000,0.95101641
1.00000000,316.28880319,297.57208607,25.01595507,-0.81960012,60.69910141,10.74426207,-0.12867630,0.00000000,0.00000000,0.95101641
1.00000000,316.28880319,297.57208607,25.01595507,-0.78836536,60.69910141,10.72129610,-0.13245413,0.00000000,0.00000000,0.95101641
1.00000000,316.52897733,297.80917564,25.02591878,-0.80918853,60.69910141,10.70716320,-0.13694308,0.00000000,0.00000000,0.95101641
1.00000000,316.36886123,297.65111593,25.01927675,-0.81960012,60.69910141,10.67713077,-0.14103202,0.00000000,0.00000000,0.95101641
1.00000000,316.44891928,297.73014578,25.02259799,-0.81960012,60.69910141,10.66918101,-0.14574320,0.00000000,0.00000000,0.95101641
1.00000000,316.76915146,297.88820550,25.02923913,-0.80918853,60.69910141,10.64974827,-0.15032103,0.00000000,0.00000000,0.95101641
1.00000000,316.76915146,297.96723536,25.03255905,-0.81960012,60.69910141,10.63031553,-0.15538777,0.00000000,0.00000000,0.95101641
1.00000000,316.76915146,298.04626521,25.03587852,-0.80918853,60.69910141,10.62943222,-0.15996561,0.00000000,0.00000000,0.95101641
1.00000000,316.84920951,298.04626521,25.03587852,-0.79877695,60.69910141,10.62943222,-0.16472122,0.00000000,0.00000000,0.95101641
1.00000000,316.92926756,297.88820550,25.02923913,-0.80918853,60.69910141,10.64268182,-0.16996574,0.00000000,0.00000000,0.95101641
1.00000000,316.92926756,298.20432493,25.04251615,-0.81960012,60.69910141,10.65504811,-0.17485469,0.00000000,0.00000000,0.95101641
1.00000000,317.08938365,298.36238465,25.04915201,-0.81960012,60.69910141,10.68508053,-0.18032143,0.00000000,0.00000000,0.95101641
1.00000000,317.16944170,298.52044436,25.05578612,-0.79877695,60.69910141,10.70804650,-0.18578817,0.00000000,0.00000000,0.95101641
