%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Air Density (kg/m^3):  972.333119E-3,,,,,,,,,,
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1,-0.10055251,-0.1093769,0,-5.07509192,-0.01274195,-0.33433183,0.00003098,0,0,0.97233312
1,-0.18061023,-0.34646556,0,-4.06513845,0.00741808,-0.28839327,-0.00032463,0,0,0.97233312
1,-0.10055251,-0.03034735,0,-3.00312523,0.00405807,-0.22831978,0.0004755,0,0,0.97233312
1,0.05956295,-0.03034735,0,-2.03481877,0.00405807,-0.15587822,0.0004755,0,0,0.97233312
1,-0.02049478,-0.18840646,0,-1.01445255,0.02421811,-0.09580473,0.00020879,0,0,0.97233312
1,-0.02049478,0.36480042,0.8662338,-0.01490985,0.00405807,-0.02513004,0.00003098,0,0,0.97233312
1,0.05956295,-0.1093769,0,0.99504505,0.02421811,0.04907838,0.00011989,0,0,0.97233312
1,0.13962068,0.12771176,0.51253426,2.11953125,0.03093812,0.10385127,0.0005644,0,0,0.97233312
1,0.13962068,0.20674131,0.65211035,2.91083657,0.05781816,0.20632956,0.00011989,0,0,0.97233312
1,-0.02049478,-0.03034735,0,4.03532338,0.04437814,0.2522681,0.0005644,0,0,0.97233312
1,-0.26066796,-0.26743601,0,4.972396,0.03429812,0.30527412,0.0006533,0,0,0.97233312
1,0.05956295,0.12771176,0.51253426,6.11770733,0.07125818,0.3918506,0.00020879,0,0,0.97233312
1,0.05956295,-0.1093769,0,7.00272089,0.03765813,0.43778914,0.00092001,0,0,0.97233312
1,-0.26066796,-0.18840646,0,8.09597324,0.07797819,0.51729815,0.0006533,0,0,0.97233312
1,0.05956295,-0.1093769,0,9.03304696,0.0846982,0.58620596,0.00092001,0,0,0.97233312
1,-0.02049478,-0.18840646,0,10.09506416,0.11157824,0.66748184,0.00109782,0,0,0.97233312
1,0.21967841,-0.03034735,0,10.96966681,0.11157824,0.70635291,0.00172014,0,0,0.97233312
1,-0.26066796,-0.1093769,0,11.95880103,0.12165826,0.77879445,0.00163124,0,0,0.97233312
1,-0.02049478,-0.03034735,0,13.03123108,0.11157824,0.84946912,0.00198685,0,0,0.97233312
1,-0.02049478,-0.26743601,0,13.95789422,0.11829825,0.90070825,0.00243136,0,0,0.97233312
1,0.21967841,-0.18840646,0,14.94702932,0.11157824,0.97138292,0.00269807,0,0,0.97233312
1,-0.02049478,-0.03034735,0,15.95698861,0.12837827,1.03145639,0.00287588,0,0,0.97233312
1,0.05956295,-0.03034735,0,17.03983191,0.14181829,1.09506358,0.00332039,0,0,0.97233312
1,-0.26066796,0.04868221,0.31644088,18.04979184,0.13509828,1.15513705,0.003676,0,0,0.97233312
