%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Air Density (kg/m^3):  963.853571E-3,,,,,,,,,,
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1,320.9360144,302.4820551,25.05297326,-4.92274592,-0.11404181,0.21688924,-0.02403672,0,0,0.96385357
1,320.29555,301.6127266,25.01694644,-3.99608741,-0.06364172,0.27166212,-0.01772461,0,0,0.96385357
1,320.29555,300.5063085,24.97101895,-2.99654538,0.02035841,0.32996874,-0.00696735,0,0,0.96385357
1,319.4149114,300.190189,24.95788128,-2.01782688,0.0741185,0.39710968,0.0005894,0,0,0.96385357
1,320.8559563,301.6127266,25.01694644,-1.07034381,0.12451858,0.43951449,0.00859066,0,0,0.96385357
1,328.7016459,308.5673549,25.30372484,0.0333181,0.21187872,0.5084223,0.01668083,0,0,0.96385357
1,320.7758983,301.2966071,25.00383291,1.08492081,0.32947891,0.55082711,0.02566003,0,0,0.96385357
1,321.4964208,300.8224279,24.9841497,2.06364044,0.36307896,0.59323191,0.0338391,0,0,0.96385357
1,322.6972916,301.6917564,25.02022375,3.05277226,0.45715911,0.64623792,0.04050683,0,0,0.96385357
1,325.0189752,303.9045926,25.11181476,4.08355204,0.52099921,0.69394332,0.04993054,0,0,0.96385357
1,320.5357241,299.9530995,24.94802349,4.96856522,0.61171934,0.7487162,0.05526472,0,0,0.96385357
1,320.8559563,299.63698,24.93487371,5.93687402,0.68563946,0.8070228,0.06531076,0,0,0.96385357
1,322.6172335,301.6917564,25.02022375,7.07177392,0.75955957,0.8653294,0.0756235,0,0,0.96385357
1,322.2169432,301.8498162,25.02677708,8.00884752,0.86035971,0.9289366,0.08682528,0,0,0.96385357
1,321.5764788,299.083771,24.9118449,9.01880491,1.09892005,0.98547634,0.09793816,0,0,0.96385357
1,323.1776399,301.4546668,25.01039053,9.94546711,1.4987606,1.04378294,0.10762859,0,0,0.96385357
1,323.9782204,300.4272786,24.96773518,11.05954446,1.79108098,1.09502207,0.11234045,0,0,0.96385357
1,323.5779302,302.0869057,25.03660386,11.92373556,1.95908118,1.1568624,0.11251825,0,0,0.96385357
1,322.6972916,299.1628009,24.91513603,13.00657773,2.38580169,1.25227319,0.11589657,0,0,0.96385357
1,322.1368852,299.7950397,24.94144947,14.0998322,2.59076192,1.30704605,0.12167527,0,0,0.96385357
1,321.9767691,299.3998904,24.92500683,15.00567189,2.97380233,1.33178218,0.13127679,0,0,0.96385357
1,318.6143309,296.317726,24.79638001,16.10933897,3.25940261,1.38125444,0.13750001,0,0,0.96385357
1,325.8996138,302.6401148,25.05951803,17.07765096,3.52820286,1.43779417,0.14665702,0,0,0.96385357
1,327.4207169,304.2207121,25.12487193,18.03555127,3.97172325,1.52260376,0.14736824,0,0,0.96385357
