%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Air Density (kg/m^3):  944.803911E-3,,,,,,,,,,
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1,0.30293844,0.29462218,0.78972679,-5.04327345,0.00525977,-0.30944065,0.00165138,0,0,0.94480391
1,0.86334254,0.45268128,0.97890473,-4.09579128,0.01197978,-0.26173523,0.00129576,0,0,0.94480391
1,1.02345799,0.53171084,1.06091823,-2.98171852,0.01197978,-0.18222621,0.00094015,0,0,0.94480391
1,-0.0973502,0.13656307,0.53766379,-2.01341202,-0.00146024,-0.13275392,0.00058454,0,0,0.94480391
1,-0.17740792,0.05753351,0.34898327,-0.97222193,0.00861978,-0.07444731,0.00014003,0,0,0.94480391
1,0.54311162,0.05753351,0.34898327,0.08979227,0.00525977,-0.00377262,-0.00030449,0,0,0.94480391
1,0.22288071,0.13656307,0.53766379,1.0372758,0.00189977,0.05806773,0.00031783,0,0,0.94480391
1,0.38299617,0.29462218,0.78972679,2.0992906,0.03549982,0.10400627,-0.00030449,0,0,0.94480391
1,0.22288071,-0.02149604,0,3.0675985,0.03885982,0.17114722,0.00005112,0,0,0.94480391
1,0.78328481,0.29462218,0.78972679,4.01508283,0.01197978,0.22768697,-0.00039339,0,0,0.94480391
1,-0.01729247,0.13656307,0.53766379,5.01462702,0.01869979,0.29129418,-0.00021559,0,0,0.94480391
1,0.06276526,-0.02149604,0,5.99334765,0.0254198,0.34606706,0.00067344,0,0,0.94480391
1,0.38299617,0.45268128,0.97890473,7.09701166,0.03549982,0.41144113,-0.00030449,0,0,0.94480391
1,0.70322708,0.29462218,0.78972679,8.03408517,0.0254198,0.48034894,-0.0004823,0,0,0.94480391
1,-0.49763883,-0.2585847,0,9.07527825,0.03885982,0.53688868,-0.00021559,0,0,0.94480391
1,0.30293844,0.29462218,0.78972679,10.03317616,0.05565985,0.60402962,-0.0006601,0,0,0.94480391
1,-0.33752338,-0.10052559,0,11.06395791,0.06237986,0.66056935,0.00031783,0,0,0.94480391
1,-0.33752338,0.05753351,0.34898327,12.08432804,0.0858999,0.71357536,-0.00012668,0,0,0.94480391
1,-0.25746565,0.13656307,0.53766379,13.07346264,0.09597991,0.78778376,0.00049564,0,0,0.94480391
1,-0.17740792,-0.17955515,0,14.01053779,0.10269992,0.84609036,0.00022893,0,0,0.94480391
1,0.30293844,0.21559262,0.67555561,14.99967295,0.10605993,0.89556262,-0.0004823,0,0,0.94480391
1,0.62316935,0.21559262,0.67555561,15.91592474,0.11613994,0.94856862,0.00076235,0,0,0.94480391
1,0.14282299,0.29462218,0.78972679,16.96753221,0.12285995,0.99274029,0.00049564,0,0,0.94480391
1,0.06276526,-0.2585847,0,18.01914001,0.15646001,1.06694868,0.00067344,0,0,0.94480391
