%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Air Density (kg/m^3):  944.359756E-3,,,,,,,,,,
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1,309.59403,292.3105947,24.88104063,-5.07034721,-0.97378695,-0.06179863,-0.02889747,0,0,0.94435976
1,317.7599504,300.2926101,25.21846129,-4.01874553,-0.74530653,-0.06003177,-0.02427452,0,0,0.94435976
1,310.4746685,292.5476842,24.89112893,-3.02961496,-0.48322606,-0.01939382,-0.01840692,0,0,0.94435976
1,313.3567579,295.5508186,25.01856208,-1.99883649,-0.20770558,0.02654473,-0.01253933,0,0,0.94435976
1,310.1544363,292.7057439,24.8978522,-0.98888153,0.02749481,0.07601701,-0.00676064,0,0,0.94435976
1,313.436816,294.9185798,24.99178805,-0.05180967,0.26269519,0.11488808,-0.00240439,0,0,0.94435976
1,318.5605309,299.0281324,25.1653101,1.01020541,0.56173566,0.15375916,0.00506345,0,0,0.94435976
1,315.9986734,297.2104456,25.08870798,2.00974931,0.80029602,0.1943971,0.00995312,0,0,0.94435976
1,314.5576286,295.4717888,25.0152169,3.07176502,1.04893638,0.20146457,0.01519839,0,0,0.94435976
1,311.595481,293.4960425,24.93144135,4.04007374,1.31101675,0.24563625,0.02044366,0,0,0.94435976
1,312.6362355,293.6541022,24.93815375,5.00838274,1.5697371,0.25447058,0.02560004,0,0,0.94435976
1,315.6784412,296.7362665,25.06868632,6.04957551,1.84525745,0.28627419,0.03137873,0,0,0.94435976
1,313.0365257,293.3379827,24.92472714,7.11159246,2.20477789,0.33751333,0.03769084,0,0,0.94435976
1,316.3189055,296.4201471,25.05532966,7.97578297,2.50381824,0.355182,0.04275831,0,0,0.94435976
1,316.3189055,296.1040276,25.04196588,9.0065647,2.78941855,0.39228621,0.0483592,0,0,0.94435976
1,320.9622724,299.1861921,25.17196013,10.01652287,3.03469881,0.42055608,0.05227093,0,0,0.94435976
1,319.7614016,298.7910428,25.15533174,11.04730523,3.36397914,0.46296089,0.05849414,0,0,0.94435976
1,319.2810533,296.8152963,25.07202438,12.02602816,3.57565934,0.47886269,0.06507296,0,0,0.94435976
1,315.5983831,294.6814902,24.98174039,13.03598724,3.93517965,0.50713256,0.07369655,0,0,0.94435976
1,315.9986734,295.3927589,25.01187126,14.06677053,4.27789994,0.53540243,0.08098659,0,0,0.94435976
1,319.0408792,297.1314158,25.08537215,14.9830226,4.56350015,0.56013857,0.08658748,0,0,0.94435976
1,316.4790216,295.8669381,25.03193836,16.0138065,4.83902035,0.59724277,0.0899658,0,0,0.94435976
1,317.039428,294.83955,24.98843928,17.02376678,5.01710047,0.64494818,0.0899658,0,0,0.94435976
1,319.6813435,298.7910428,25.15533174,18.01290345,5.2187006,0.69618731,0.08881006,0,0,0.94435976
