%Sampling Frequency (Hz): 250
%Filter Frequency (Hz): 10
%Air Density (kg/m^3):  958.302952E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,-0.12617098,-0.33065965,0.00000000,-5.05160309,-0.00239353,-0.32260943,0.00028711,0.00000000,0.00000000,0.95830295
1.00000000,-0.04611325,-0.25163010,0.00000000,-3.92711871,-0.01919355,-0.26076907,0.00055382,0.00000000,0.00000000,0.95830295
1.00000000,0.03394448,-0.17260055,0.00000000,-1.75103219,0.00096648,-0.09645041,-0.00077973,0.00000000,0.00000000,0.95830295
1.00000000,-0.04611325,-0.25163010,0.00000000,-2.00091779,0.00096648,-0.11941968,-0.00006850,0.00000000,0.00000000,0.95830295
1.00000000,0.35417539,0.22254722,0.68151383,-1.06384670,0.00096648,-0.05757933,0.00002040,0.00000000,0.00000000,0.95830295
1.00000000,-0.04611325,-0.01454144,0.00000000,-0.00183250,-0.00239353,0.00779476,0.00046491,0.00000000,0.00000000,0.95830295
1.00000000,0.11400220,0.06448812,0.36686259,1.04977012,0.00432648,0.08200318,-0.00015741,0.00000000,0.00000000,0.95830295
1.00000000,0.03394448,0.06448812,0.36686259,2.05972539,0.00768649,0.13677606,-0.00006850,0.00000000,0.00000000,0.95830295
1.00000000,-0.12617098,0.06448812,0.36686259,3.00720948,0.01776651,0.20215014,-0.00051302,0.00000000,0.00000000,0.95830295
1.00000000,-0.04611325,-0.09357099,0.00000000,4.00675340,-0.00911354,0.26575736,0.00019820,0.00000000,0.00000000,0.95830295
1.00000000,0.03394448,-0.09357099,0.00000000,5.06876913,0.01776651,0.34526637,0.00037601,0.00000000,0.00000000,0.95830295
1.00000000,-0.28628643,-0.09357099,0.00000000,6.07872557,0.00768649,0.40710672,0.00082052,0.00000000,0.00000000,0.95830295
1.00000000,0.03394448,0.06448812,0.36686259,7.03662268,0.02112651,0.47248079,0.00046491,0.00000000,0.00000000,0.95830295
1.00000000,-0.04611325,-0.25163010,0.00000000,7.98410812,0.02784652,0.55022294,0.00037601,0.00000000,0.00000000,0.95830295
1.00000000,0.03394448,0.06448812,0.36686259,8.92118189,0.00768649,0.59792834,0.00108723,0.00000000,0.00000000,0.95830295
1.00000000,-0.12617098,0.06448812,0.36686259,9.98319914,0.01776651,0.66506928,0.00090943,0.00000000,0.00000000,0.95830295
1.00000000,0.19405993,-0.01454144,0.00000000,11.00356896,0.04128654,0.74104455,0.00224297,0.00000000,0.00000000,0.95830295
1.00000000,0.11400220,0.45963588,0.97942356,11.97187939,0.04800655,0.80818549,0.00099833,0.00000000,0.00000000,0.95830295
1.00000000,0.03394448,0.14351767,0.54728844,13.03389759,0.04464655,0.87002583,0.00206517,0.00000000,0.00000000,0.95830295
1.00000000,0.03394448,-0.25163010,0.00000000,13.92932497,0.03792654,0.93716676,0.00215407,0.00000000,0.00000000,0.95830295
1.00000000,-0.20622871,-0.01454144,0.00000000,15.04340355,0.05136656,0.99193962,0.00277639,0.00000000,0.00000000,0.95830295
1.00000000,-0.12617098,-0.01454144,0.00000000,16.03253905,0.07824660,1.06261429,0.00268749,0.00000000,0.00000000,0.95830295
1.00000000,-0.04611325,0.06448812,0.36686259,17.01126288,0.06144658,1.11915402,0.00357652,0.00000000,0.00000000,0.95830295
1.00000000,-0.04611325,-0.17260055,0.00000000,18.02122289,0.05472657,1.18276121,0.00304310,0.00000000,0.00000000,0.95830295
