%Sampling Frequency (Hz): 250
%Filter Frequency (Hz): 10
%Air Density (kg/m^3):  953.076308E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,319.15808366,300.77943401,25.12321586,-4.99579535,-0.11164821,-0.06974409,-0.02562442,0.00000000,0.00000000,0.95307631
1.00000000,318.19738708,299.59398610,25.07365850,-3.99625368,-0.04780810,-0.01673808,-0.01815658,0.00000000,0.00000000,0.95307631
1.00000000,318.51761927,300.14719512,25.09679745,-2.93424035,0.01603200,0.05747034,-0.01006641,0.00000000,0.00000000,0.95307631
1.00000000,317.07657441,298.17144864,25.01406008,-2.03881710,0.08659212,0.09634142,-0.00277637,0.00000000,0.00000000,0.95307631
1.00000000,319.63843196,301.17458332,25.13971327,-1.04968651,0.14707221,0.16524924,0.00504709,0.00000000,0.00000000,0.95307631
1.00000000,321.39970908,301.64876249,25.15949588,-0.00849611,0.21427232,0.20942091,0.01411519,0.00000000,0.00000000,0.95307631
1.00000000,313.07367221,293.35062747,24.81102302,1.09516604,0.31171247,0.24829199,0.02247207,0.00000000,0.00000000,0.95307631
1.00000000,325.64278598,305.83734535,25.33357139,2.02182603,0.39907261,0.30659860,0.02940650,0.00000000,0.00000000,0.95307631
1.00000000,315.71558764,295.56346337,24.90442588,2.97972202,0.49651275,0.35960461,0.03829680,0.00000000,0.00000000,0.95307631
1.00000000,324.20174096,303.30838963,25.22861287,3.98967785,0.58387289,0.39847568,0.04709819,0.00000000,0.00000000,0.95307631
1.00000000,325.64278598,304.01965842,25.25817653,5.03086974,0.66451300,0.45501542,0.05527727,0.00000000,0.00000000,0.95307631
1.00000000,313.23378829,293.03450806,24.79765104,6.00959040,0.75523314,0.51155516,0.06345634,0.00000000,0.00000000,0.95307631
1.00000000,322.60057987,301.09555346,25.13641465,7.10284252,0.84931327,0.55572683,0.07030187,0.00000000,0.00000000,0.95307631
1.00000000,324.84220541,303.07130004,25.21875061,7.98785640,1.04083355,0.62463464,0.08408183,0.00000000,0.00000000,0.95307631
1.00000000,316.83640027,295.80055293,24.91441256,9.02904950,1.20211377,0.68647498,0.09270543,0.00000000,0.00000000,0.95307631
1.00000000,320.35895441,297.30212020,24.97756881,9.97653549,1.37683400,0.73594725,0.10070670,0.00000000,0.00000000,0.95307631
1.00000000,321.23959297,299.19883680,25.05711760,10.94484562,1.67587439,0.78895325,0.10986371,0.00000000,0.00000000,0.95307631
1.00000000,316.11587786,293.90383644,24.83440667,12.07974709,1.87075463,0.84019238,0.11075274,0.00000000,0.00000000,0.95307631
1.00000000,316.75634223,296.82794106,24.95764200,13.04805782,2.09587490,0.93383632,0.11110835,0.00000000,0.00000000,0.95307631
1.00000000,324.92226347,301.01652360,25.13311560,14.00595689,2.38819524,0.99744351,0.11457557,0.00000000,0.00000000,0.95307631
1.00000000,315.71558764,293.50868717,24.81770631,15.02632793,2.62003549,1.01864591,0.12159891,0.00000000,0.00000000,0.95307631
1.00000000,325.72284404,302.04391181,25.17596952,16.00505147,3.08035597,1.08932057,0.13235617,0.00000000,0.00000000,0.95307631
1.00000000,318.99796756,296.51182164,24.94434861,17.00459921,3.36595624,1.13702597,0.13875719,0.00000000,0.00000000,0.95307631
1.00000000,319.55837391,296.98600077,24.96428604,17.98332333,3.63811649,1.20063317,0.14515821,0.00000000,0.00000000,0.95307631
