%Sampling Frequency (Hz): 250
%Filter Frequency (Hz): 10
%Air Density (kg/m^3):  NaN
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,0.15371084,0.06322364,NaN,-5.03694313,0.00036976,-0.30973699,0.00019514,0.00000000,0.00000000,NaN
1.00000000,-0.08646235,-0.25289457,NaN,-3.97493011,0.00372977,-0.27086591,-0.00033828,0.00000000,0.00000000,NaN
1.00000000,-0.16652007,0.22128275,NaN,-2.98580005,0.01380978,-0.18605628,0.00010623,0.00000000,0.00000000,NaN
1.00000000,-0.16652007,-0.09483546,NaN,-1.95502213,0.00708977,-0.11714845,-0.00033828,0.00000000,0.00000000,NaN
1.00000000,0.15371084,-0.33192413,NaN,-1.01795103,0.01716979,-0.06414244,-0.00024938,0.00000000,0.00000000,NaN
1.00000000,-0.16652007,-0.17386502,NaN,0.01282747,0.03060981,0.00653225,-0.00007157,0.00000000,0.00000000,NaN
1.00000000,0.31382629,0.14225320,NaN,1.03319435,0.02724980,0.09310875,-0.00060499,0.00000000,0.00000000,NaN
1.00000000,0.39388402,0.14225320,NaN,2.04314962,0.02052979,0.16024970,-0.00016047,0.00000000,0.00000000,NaN
1.00000000,-0.16652007,-0.09483546,NaN,3.01145752,0.02724980,0.22739065,-0.00033828,0.00000000,0.00000000,NaN
1.00000000,0.07365311,-0.01580591,NaN,4.01100145,0.03732982,0.28393039,-0.00096060,0.00000000,0.00000000,NaN
1.00000000,-0.40669326,-0.17386502,NaN,4.98972181,0.04404983,0.34223700,-0.00024938,0.00000000,0.00000000,NaN
1.00000000,-0.08646235,-0.17386502,NaN,6.01009015,0.03396981,0.41821228,-0.00007157,0.00000000,0.00000000,NaN
1.00000000,-0.32663553,-0.48998323,NaN,6.96798723,0.05748985,0.46238396,-0.00078280,0.00000000,0.00000000,NaN
1.00000000,-0.24657780,-0.09483546,NaN,7.98835615,0.04404983,0.55602790,0.00001733,0.00000000,0.00000000,NaN
1.00000000,0.07365311,0.22128275,NaN,9.00872538,0.04740984,0.63200318,0.00046185,0.00000000,0.00000000,NaN
1.00000000,-0.24657780,-0.41095368,NaN,10.04991878,0.05412985,0.69914412,0.00072855,0.00000000,0.00000000,NaN
1.00000000,0.07365311,-0.09483546,NaN,10.93493342,0.05748985,0.74861639,0.00072855,0.00000000,0.00000000,NaN
1.00000000,-0.32663553,-0.33192413,NaN,12.01777517,0.06084986,0.81752419,0.00081746,0.00000000,0.00000000,NaN
1.00000000,-0.16652007,-0.17386502,NaN,13.00690978,0.07092987,0.87936453,0.00161758,0.00000000,0.00000000,NaN
1.00000000,-0.64686644,-0.48998323,NaN,14.01686856,0.08436989,0.93237053,0.00099526,0.00000000,0.00000000,NaN
1.00000000,-0.16652007,-0.33192413,NaN,15.00600375,0.09108990,1.00657892,0.00135088,0.00000000,0.00000000,NaN
1.00000000,0.71411493,0.30031230,NaN,15.99513924,0.08772990,1.07195299,0.00152868,0.00000000,0.00000000,NaN
1.00000000,0.07365311,-0.01580591,NaN,17.01551089,0.09780991,1.13025959,0.00277332,0.00000000,0.00000000,NaN
1.00000000,0.07365311,-0.17386502,NaN,18.03588285,0.10116992,1.21683605,0.00232881,0.00000000,0.00000000,NaN
