%Sampling Frequency (Hz): 250
%Filter Frequency (Hz): 10
%Air Density (kg/m^3):  945.955600E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,-0.63469767,-0.40147013,0.00000000,-4.95997786,0.01691351,-0.30704640,0.00163772,0.00000000,0.00000000,0.94595560
1.00000000,-0.07429357,0.07270719,0.39207423,-4.00208387,0.01355350,-0.25404038,0.00137101,0.00000000,0.00000000,0.94595560
1.00000000,0.40605280,0.07270719,0.39207423,-2.94007066,0.04043355,-0.19043316,0.00065979,0.00000000,0.00000000,0.94595560
1.00000000,0.32599507,0.07270719,0.39207423,-2.00299993,0.06395358,-0.12505907,0.00074869,0.00000000,0.00000000,0.94595560
1.00000000,-0.23440903,0.07270719,0.39207423,-1.02428135,0.04379355,-0.06498559,0.00057088,0.00000000,0.00000000,0.94595560
1.00000000,-0.15435130,-0.00632236,0.00000000,-0.06638630,0.02699352,0.16647401,0.00074869,0.00000000,0.00000000,0.94595560
1.00000000,0.24593734,0.23076630,0.69849904,0.98521617,0.07067359,0.17354148,0.00039308,0.00000000,0.00000000,0.94595560
1.00000000,-0.23440903,-0.16438147,0.00000000,1.99517130,0.08075361,0.19121015,0.00039308,0.00000000,0.00000000,0.94595560
1.00000000,0.00576416,0.07270719,0.39207423,3.03636247,0.08747362,0.20004448,-0.00022924,0.00000000,0.00000000,0.94595560
1.00000000,0.00576416,-0.00632236,0.00000000,4.05673011,0.11435366,0.19827762,-0.00040705,0.00000000,0.00000000,0.94595560
1.00000000,0.24593734,-0.00632236,0.00000000,5.02503846,0.10091364,0.20181135,-0.00076266,0.00000000,0.00000000,0.94595560
1.00000000,-0.07429357,0.07270719,0.39207423,6.01417092,0.11099366,0.20534509,-0.00022924,0.00000000,0.00000000,0.94595560
1.00000000,0.08582188,-0.24341103,0.00000000,7.01371559,0.11435366,0.21064569,-0.00014034,0.00000000,0.00000000,0.94595560
1.00000000,0.24593734,-0.16438147,0.00000000,7.98202476,0.13115369,0.21417942,-0.00005144,0.00000000,0.00000000,0.94595560
1.00000000,0.24593734,0.23076630,0.69849904,9.02321772,0.16139373,0.21948002,-0.00102937,0.00000000,0.00000000,0.94595560
1.00000000,0.08582188,-0.16438147,0.00000000,9.99152746,0.15803373,0.21948002,-0.00022924,0.00000000,0.00000000,0.94595560
1.00000000,0.00576416,-0.00632236,0.00000000,10.98066135,0.16139373,0.22124689,-0.00031815,0.00000000,0.00000000,0.94595560
1.00000000,-0.31446675,-0.08535192,0.00000000,11.99061941,0.16811374,0.23008122,-0.00085156,0.00000000,0.00000000,0.94595560
1.00000000,-0.15435130,-0.00632236,0.00000000,13.06304943,0.17483375,0.21948002,-0.00031815,0.00000000,0.00000000,0.94595560
1.00000000,0.40605280,0.15173674,0.56640229,13.98971254,0.20843381,0.22124689,-0.00022924,0.00000000,0.00000000,0.94595560
1.00000000,0.08582188,0.07270719,0.39207423,15.03090735,0.21515382,0.21594629,-0.00067376,0.00000000,0.00000000,0.94595560
1.00000000,-0.31446675,-0.08535192,0.00000000,16.00963077,0.24203386,0.22301376,-0.00049595,0.00000000,0.00000000,0.94595560
1.00000000,0.08582188,-0.08535192,0.00000000,17.00917838,0.25211387,0.22831436,0.00012637,0.00000000,0.00000000,0.94595560
1.00000000,0.08582188,0.15173674,0.56640229,17.95666650,0.26555389,0.22654749,0.00048198,0.00000000,0.00000000,0.94595560
