%Sampling Frequency (Hz): 250
%Filter Frequency (Hz): 10
%Air Density (kg/m^3):  944.583376E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,314.52112349,298.09178837,25.12290494,-5.00004285,-1.64121190,-0.01513942,-0.04424378,0.00000000,0.00000000,0.94458338
1.00000000,310.59827945,293.82417614,24.94242140,-4.00050129,-1.40265142,0.03786659,-0.03944302,0.00000000,0.00000000,0.94458338
1.00000000,314.36100740,295.95798222,25.03282583,-2.99054756,-1.12377089,0.07497080,-0.03366433,0.00000000,0.00000000,0.94458338
1.00000000,314.20089131,296.11604193,25.03950947,-1.79317936,-0.81129031,0.12797682,-0.02619648,0.00000000,0.00000000,0.94458338
1.00000000,315.48182002,297.30148979,25.08958001,-0.99146304,-0.58280990,0.17214849,-0.02139572,0.00000000,0.00000000,0.94458338
1.00000000,312.59973046,295.00962395,24.99268645,-0.03356798,-0.34424948,0.21632017,-0.01615045,0.00000000,0.00000000,0.94458338
1.00000000,333.25470855,314.21388164,25.79333702,0.96597497,-0.03848897,0.26225871,-0.01179421,0.00000000,0.00000000,0.94458338
1.00000000,316.12228439,296.51119121,25.05621077,2.00716584,0.23367147,0.29759605,-0.00521539,0.00000000,0.00000000,0.94458338
1.00000000,310.59827945,291.53231044,24.84495394,3.00670937,0.47895185,0.34176773,0.00038550,0.00000000,0.00000000,0.94458338
1.00000000,309.71764103,290.74201194,24.81125570,4.00625318,0.74775226,0.37003760,0.00598638,0.00000000,0.00000000,0.94458338
1.00000000,313.64048501,294.29835526,24.96253957,4.99538536,0.96615257,0.39830747,0.01060934,0.00000000,0.00000000,0.94458338
1.00000000,312.75984654,293.58708658,24.93235623,5.98451782,1.29207303,0.42834421,0.01701035,0.00000000,0.00000000,0.94458338
1.00000000,316.52257462,296.11604193,25.03950947,6.99447441,1.59111342,0.45661408,0.02270014,0.00000000,0.00000000,0.94458338
1.00000000,315.56187807,295.40477323,25.00941902,8.00443130,1.88007379,0.46721528,0.02892335,0.00000000,0.00000000,0.94458338
1.00000000,315.88211025,295.48380309,25.01276419,9.01438848,2.19591417,0.50255262,0.03434643,0.00000000,0.00000000,0.94458338
1.00000000,313.80060110,293.66611644,24.93571174,9.92022662,2.44455446,0.52552189,0.03879158,0.00000000,0.00000000,0.94458338
1.00000000,319.80495461,299.67238556,25.18942253,10.99265600,2.73687478,0.55909236,0.04385905,0.00000000,0.00000000,0.94458338
1.00000000,320.84570928,299.59335570,25.18610082,12.05467377,3.03927509,0.61209836,0.04919322,0.00000000,0.00000000,0.94458338
1.00000000,319.24454826,298.64499738,25.14620611,13.08545605,3.36183540,0.63506763,0.05506082,0.00000000,0.00000000,0.94458338
1.00000000,318.84425801,297.06440021,25.07957390,13.96005944,3.60375563,0.65273630,0.06039500,0.00000000,0.00000000,0.94458338
1.00000000,316.28240048,295.72089265,25.02279702,15.01166619,3.91623590,0.67747244,0.06892969,0.00000000,0.00000000,0.94458338
1.00000000,314.44106544,294.37738512,24.96589102,16.03203743,4.29255620,0.70397544,0.07773108,0.00000000,0.00000000,0.94458338
1.00000000,320.52547707,298.96111682,25.15951137,17.00034919,4.62183645,0.73931277,0.08422100,0.00000000,0.00000000,0.94458338
1.00000000,315.24164589,296.03701208,25.03616787,18.02072103,4.84695660,0.78525131,0.08653248,0.00000000,0.00000000,0.94458338
