%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Air Density (kg/m^3):  943.313401E-3,,,,,,,,,,
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1,-0.03266355,-0.05310786,0,-4.93848792,0.00356923,-0.2985661,0.00121789,0,0,0.9433134
1,0.1274519,0.10495125,0.47171621,-4.01182956,0.02372927,-0.26146188,0.00086228,0,0,0.9433134
1,-0.43295219,-0.29019652,0,-3.02269959,0.00356923,-0.2172902,0.00086228,0,0,0.9433134
1,-0.19277901,-0.13213741,0,-2.01274555,-0.01323079,-0.15014923,0.00023996,0,0,0.9433134
1,-0.03266355,0.1839808,0.62455868,-0.98196742,-0.00315078,-0.08654201,0.00032886,0,0,0.9433134
1,0.1274519,-0.05310786,0,-0.04489613,-0.00987079,-0.04590406,0.00023996,0,0,0.9433134
1,-0.35289446,0.02592169,0.23443297,1.00670638,0.00020923,0.0371387,-0.00011565,0,0,0.9433134
1,-0.03266355,-0.21116697,0,1.96460202,0.00020923,0.09191158,0.00059557,0,0,0.9433134
1,-0.03266355,-0.21116697,0,3.07867661,0.01700925,0.17495434,0.00006215,0,0,0.9433134
1,-0.43295219,-0.21116697,0,4.03657281,0.00020923,0.21912602,0.00006215,0,0,0.9433134
1,-0.35289446,-0.05310786,0,4.92158584,0.01700925,0.27213203,-0.00011565,0,0,0.9433134
1,-0.27283674,-0.21116697,0,5.94195407,0.03044928,0.34280672,0.00015105,0,0,0.9433134
1,-0.03266355,-0.05310786,0,6.95191069,0.02372927,0.4028802,-0.00020456,0,0,0.9433134
1,-0.19277901,0.02592169,0.23443297,8.05557495,0.0472493,0.46295367,-0.00002675,0,0,0.9433134
1,-0.27283674,0.02592169,0.23443297,8.91976515,0.05732932,0.51595968,-0.00020456,0,0,0.9433134
1,-0.35289446,0.10495125,0.47171621,9.96095844,0.06740933,0.58310063,-0.00047127,0,0,0.9433134
1,-0.11272128,0.10495125,0.47171621,11.00215205,0.06740933,0.63080603,0.00006215,0,0,0.9433134
1,-0.03266355,0.10495125,0.47171621,12.01211016,0.06740933,0.69087951,0.00006215,0,0,0.9433134
1,0.04739417,0.10495125,0.47171621,12.93877302,0.08756937,0.76332105,-0.00020456,0,0,0.9433134
1,0.20750963,0.10495125,0.47171621,13.9487317,0.09092937,0.81102645,0.00023996,0,0,0.9433134
1,-0.19277901,-0.21116697,0,14.98992655,0.11444941,0.86049872,0.00023996,0,0,0.9433134
1,0.1274519,0.10495125,0.47171621,16.04153367,0.12452942,0.93294025,0.00023996,0,0,0.9433134
1,-0.19277901,-0.05310786,0,17.05149329,0.15140946,0.99478059,0.00050667,0,0,0.9433134
1,0.04739417,0.10495125,0.47171621,18.04062931,0.15140946,1.06545526,0.00095118,0,0,0.9433134
