%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Air Density (kg/m^3):  947.404779E-3,,,,,,,,,,
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1,319.3572679,301.8226294,25.24196216,-4.91974669,-1.49452282,-0.05461978,-0.04138604,0,0,0.94740478
1,319.5974421,302.2177787,25.25848027,-3.85773368,-1.30972247,-0.02281617,-0.03774102,0,0,0.94740478
1,321.9191256,303.7193461,25.32115084,-2.88942742,-1.03084196,0.02135551,-0.03160672,0,0,0.94740478
1,319.3572679,300.6371814,25.19234283,-1.88988521,-0.78220152,0.06199346,-0.02565023,0,0,0.94740478
1,319.5974421,301.4274801,25.22543323,-0.86951891,-0.48652101,0.11323261,-0.01916031,0,0,0.94740478
1,317.9162231,299.1356141,25.12935103,0.17167149,-0.21772057,0.16270489,-0.01231479,0,0,0.94740478
1,314.7939593,296.369569,25.01289826,1.06709549,0.04435985,0.20334284,-0.00751403,0,0,0.94740478
1,335.0486476,314.7044984,25.77500081,2.13952219,0.29636023,0.23868018,-0.00289107,0,0,0.94740478
1,328.163654,308.5401681,25.52131619,3.08700625,0.56852064,0.26518318,0.00439897,0,0,0.94740478
1,330.725512,309.8836759,25.57682086,4.10737399,0.80372097,0.30405426,0.00857741,0,0,0.94740478
1,323.6003447,303.8774059,25.32773872,5.06527051,1.05572132,0.32172293,0.0143561,0,0,0.94740478
1,318.2364553,298.2662856,25.09280982,6.14811037,1.35476171,0.35352654,0.01969028,0,0,0.94740478
1,318.8769196,299.2146439,25.13267033,7.18930286,1.583242,0.37119521,0.02529116,0,0,0.94740478
1,322.55959,303.4032267,25.30796993,8.11596444,1.94948244,0.40299881,0.03133656,0,0,0.94740478
1,314.7939593,295.5792705,24.97952632,9.07386207,2.16452268,0.44363676,0.03631513,0,0,0.94740478
1,324.7211575,303.3241968,25.30467363,10.17752706,2.53748308,0.46837289,0.04316066,0,0,0.94740478
1,319.3572679,300.1630023,25.17246771,11.1458372,2.78612334,0.50901083,0.0475169,0,0,0.94740478
1,319.3572679,298.1872558,25.08948526,12.14538345,3.11204365,0.5425813,0.05302889,0,0,0.94740478
1,330.0049894,308.7772577,25.5311199,13.19698972,3.48836399,0.55494937,0.06067455,0,0,0.94740478
1,325.1214478,304.6677045,25.36065245,14.13406488,3.7370042,0.59912105,0.06885362,0,0,0.94740478
1,327.6833056,305.5370331,25.39680829,15.19608373,4.00916442,0.62032345,0.07507683,0,0,0.94740478
1,325.44168,303.6403163,25.31785625,16.08109968,4.42916472,0.64505959,0.08387823,0,0,0.94740478
1,335.3688799,311.6223332,25.64847214,17.09105936,4.80884497,0.64505959,0.09125718,0,0,0.94740478
1,345.0559071,321.9752478,26.07104596,18.20513895,5.22548522,0.68216379,0.09748039,0,0,0.94740478
