%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Air Density (kg/m^3):  942.082985E-3,,,,,,,,,,
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1,-0.09414789,-0.05057891,0,-4.91483004,-0.00614757,-0.34560374,-0.00019138,0,0,0.94208299
1,-0.01409016,-0.20863802,0,-3.98817206,0.00729245,-0.30673265,0.00007533,0,0,0.94208299
1,-0.17420562,-0.05057891,0,-3.08233763,-0.00278756,-0.23429109,0.00043094,0,0,0.94208299
1,-0.01409016,0.2655393,0.75081825,-2.02032456,0.01065246,-0.16715013,-0.00019138,0,0,0.94208299
1,-0.01409016,0.02845064,0.24576296,-0.97913497,0.01065246,-0.10530977,-0.00045809,0,0,0.94208299
1,-0.09414789,-0.05057891,0,-0.00041648,0.01065246,-0.03286821,-0.00001358,0,0,0.94208299
1,-0.09414789,0.10748019,0.47767734,1.09283322,0.02745249,0.04487395,-0.00045809,0,0,0.94208299
1,0.06596757,0.10748019,0.47767734,2.02990465,0.02073247,0.1120149,-0.0006359,0,0,0.94208299
1,0.06596757,0.2655393,0.75081825,2.98780015,0.01401246,0.17385525,-0.00028029,0,0,0.94208299
1,-0.01409016,0.10748019,0.47767734,3.99775547,0.01737247,0.22686127,0.00016423,0,0,0.94208299
1,-0.09414789,0.10748019,0.47767734,5.13265407,0.02745249,0.30637029,-0.00028029,0,0,0.94208299
1,0.1460253,0.18650975,0.62924704,6.0280789,0.02073247,0.3646769,-0.00010248,0,0,0.94208299
1,0.1460253,0.02845064,0.24576296,7.05885894,0.01065246,0.42298351,0.00007533,0,0,0.94208299
1,-0.49443653,-0.05057891,0,8.04799159,0.0375325,0.50602626,0.00016423,0,0,0.94208299
1,0.30614075,-0.05057891,0,9.18289151,0.02409248,0.55549854,0.00025313,0,0,0.94208299
1,-0.17420562,0.2655393,0.75081825,10.09914126,0.05433253,0.63324068,0.00051984,0,0,0.94208299
1,-0.17420562,-0.28766758,0,11.07786285,0.05769253,0.71451656,0.00043094,0,0,0.94208299
1,0.1460253,-0.05057891,0,12.04617278,0.0341725,0.77812376,0.00096436,0,0,0.94208299
1,0.06596757,0.02845064,0.24576296,12.97283524,0.05433253,0.83112976,0.00114216,0,0,0.94208299
1,-0.17420562,-0.20863802,0,14.03485319,0.0375325,0.90180443,0.00149777,0,0,0.94208299
1,0.06596757,0.10748019,0.47767734,14.95110425,0.05097252,0.9618779,0.00149777,0,0,0.94208299
1,-0.25426334,0.10748019,0.47767734,16.03394672,0.05769253,1.0201845,0.00185339,0,0,0.94208299
1,-0.09414789,0.02845064,0.24576296,17.04390589,0.07113256,1.09085917,0.00256461,0,0,0.94208299
1,-0.17420562,0.02845064,0.24576296,18.03304145,0.06441255,1.15093263,0.0023868,0,0,0.94208299
