%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Air Density (kg/m^3):  941.393754E-3,,,,,,,,,,
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1,315.0616739,297.6947409,25.14866425,-5.04202165,-0.20927077,-0.04851789,-0.03706368,0,0,0.94139375
1,314.1810354,297.062502,25.12194491,-3.99042104,-0.17567071,-0.01141368,-0.03252963,0,0,0.94139375
1,313.6206291,295.5609347,25.05837229,-3.02211526,-0.10175059,0.05926101,-0.02461727,0,0,0.94139375
1,313.9408613,295.402875,25.05167106,-2.0850449,-0.05471051,0.11226703,-0.01723833,0,0,0.94139375
1,311.7792942,294.6125765,25.01813794,-1.01261963,0.02928962,0.16880678,-0.00772571,0,0,0.94139375
1,312.2596424,294.0593675,24.99463799,0.03898215,0.08976972,0.22711339,0.00072007,0,0,0.94139375
1,316.983067,298.0108603,25.16201328,1.04893664,0.15360982,0.29955494,0.00818791,0,0,0.94139375
1,315.6220802,297.062502,25.12194491,2.09012713,0.25104997,0.34549349,0.01521125,0,0,0.94139375
1,312.7399907,293.8222779,24.98455981,3.07925837,0.32833009,0.3931989,0.02356813,0,0,0.94139375
1,311.5391201,292.7948899,24.94084067,3.91221122,0.41905023,0.42853624,0.03050256,0,0,0.94139375
1,309.1373789,290.5820541,24.84641509,5.08875745,0.49969035,0.48684285,0.03965956,0,0,0.94139375
1,308.7370887,289.8707854,24.8159877,5.96335844,0.57025046,0.52218019,0.04614948,0,0,0.94139375
1,314.4212096,294.4545168,25.01142592,7.09825768,0.65761059,0.58932113,0.05317282,0,0,0.94139375
1,319.4648665,298.5640693,25.18535706,8.07697842,0.73825071,0.65116147,0.06544143,0,0,0.94139375
1,315.7021383,294.5335466,25.01478215,8.99322787,0.76513074,0.70593434,0.07157573,0,0,0.94139375
1,314.1009774,293.7432481,24.98119952,10.06565652,0.84241086,0.75540661,0.08179958,0,0,0.94139375
1,315.7821963,293.5061585,24.97111592,11.02355424,0.93649099,0.82784815,0.09220123,0,0,0.94139375
1,320.9859694,298.9592186,25.20201794,12.04392385,1.03729113,0.88262102,0.10206947,0,0,0.94139375
1,321.6264339,299.7495172,25.23530672,13.06429376,1.13473126,0.92502582,0.108915,0,0,0.94139375
1,319.5449245,299.0382484,25.2053488,14.00136844,1.21201137,0.99216676,0.10847048,0,0,0.94139375
1,316.2625446,293.9013078,24.98791966,14.9905031,1.33969154,1.06460829,0.10935951,0,0,0.94139375
1,318.744344,295.4819049,25.0550219,15.90675442,1.49425174,1.11761429,0.11371576,0,0,0.94139375
1,315.22179,293.5851884,24.97447757,17.07289282,1.62865192,1.18475522,0.1206502,0,0,0.94139375
1,320.5856792,296.9834721,25.11860299,18.02038058,1.7731321,1.23246062,0.12918489,0,0,0.94139375
