%Sampling Frequency (Hz): 5000
%Filter Frequency (Hz): 1000
%Air Density (kg/m^3):  946.292615E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,199.76880661,189.74759858,20.02582499,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,199.76880661,189.66856885,20.02165419,0.01902489,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,200.08903825,189.51050939,20.01330997,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,200.08903825,189.51050939,20.01330997,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,200.48932780,189.58953912,20.01748251,-0.04344737,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,200.40926989,189.90565804,20.03416400,-0.05385942,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,200.72950154,189.43147966,20.00913656,0.01902489,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.12979109,189.35244993,20.00496227,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.28990692,189.27342020,20.00078712,0.01902489,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.45002274,189.35244993,20.00496227,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.45002274,189.58953912,20.01748251,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.45002274,189.51050939,20.01330997,-0.03303533,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.36996483,189.66856885,20.02165419,-0.03303533,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.36996483,189.90565804,20.03416400,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.36996483,189.82662831,20.02999493,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.45002274,190.22177697,20.05083160,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.53008065,190.14274724,20.04666600,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.61013856,190.22177697,20.05083160,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.28990692,190.30080670,20.05499634,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.28990692,189.98468778,20.03833220,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.20984900,190.30080670,20.05499634,-0.05385942,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.77025439,189.90565804,20.03416400,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.77025439,190.06371751,20.04249953,-0.04344737,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,202.01042813,190.14274724,20.04666600,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,201.93037021,190.14274724,20.04666600,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,253.56774206,237.87672090,22.42220113,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,253.80791597,237.79769112,22.41847616,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,253.88797394,237.79769112,22.41847616,0.01902489,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,253.96803191,237.95575069,22.42592549,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,254.36832177,238.27186983,22.44081672,-0.03303533,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,254.52843771,238.19284004,22.43709484,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,254.92872756,238.27186983,22.44081672,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,255.32901742,238.27186983,22.44081672,-0.03303533,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,255.32901742,238.19284004,22.43709484,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,255.32901742,238.03478047,22.42964922,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,255.32901742,238.35089961,22.44453799,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,255.24895945,238.66701876,22.45941689,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,255.00878554,238.66701876,22.45941689,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,254.28826379,238.82507833,22.46685264,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,253.88797394,238.66701876,22.45941689,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,253.40762612,238.66701876,22.45941689,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,252.92727830,238.90410811,22.47056960,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,252.28681455,238.90410811,22.47056960,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,251.56629284,238.98313790,22.47428593,-0.04344737,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,250.92582910,238.50895919,22.45197867,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,250.92582910,238.19284004,22.43709484,0.01902489,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,250.84577113,238.27186983,22.44081672,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,250.92582910,238.11381026,22.43337234,-0.03303533,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,251.00588707,238.27186983,22.44081672,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,251.48623487,237.95575069,22.42592549,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,316.25316181,298.01841459,25.09711625,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,316.33321985,297.86035488,25.09046000,0.01902489,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,316.81356813,298.09744445,25.10044372,0.02943693,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,316.81356813,298.01841459,25.09711625,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,316.97368422,298.17647431,25.10377074,0.02943693,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,316.97368422,297.86035488,25.09046000,0.02943693,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,316.81356813,297.93938473,25.09378835,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,316.57339399,298.01841459,25.09711625,0.01902489,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,315.85287158,298.41356388,25.11374916,-0.03303533,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,315.29246527,298.17647431,25.10377074,0.01902489,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,315.05229113,298.25550416,25.10709732,0.02943693,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,314.73205896,298.25550416,25.10709732,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,314.01153657,298.41356388,25.11374916,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,313.29101418,298.33453402,25.11042346,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,312.41037573,298.33453402,25.11042346,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,311.76991141,297.86035488,25.09046000,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,311.52973729,297.30714587,25.06714922,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,311.60979533,297.22811602,25.06381733,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,311.52973729,297.54423545,25.07714221,-0.03303533,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,311.84996945,297.46520559,25.07381165,0.05026102,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,312.17020161,297.14908616,25.06048501,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,312.49043377,297.14908616,25.06048501,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,312.89072398,297.22811602,25.06381733,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,313.21095614,297.46520559,25.07381165,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,313.69130440,297.38617573,25.07048066,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,379.41899202,358.79240549,27.53746089,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,379.25887576,358.39725580,27.52229276,0.01902489,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,378.93864325,358.31822587,27.51925813,-0.04344737,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,378.69846887,358.39725580,27.52229276,-0.03303533,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,378.21812010,358.63434561,27.53139464,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,378.13806198,358.47628574,27.52532705,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,377.89788760,358.63434561,27.53139464,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,377.89788760,358.39725580,27.52229276,-0.03303533,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,378.21812010,358.08113606,27.51015224,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,379.09875950,358.39725580,27.52229276,-0.04344737,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,379.81928266,358.39725580,27.52229276,-0.04344737,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,380.05945705,358.08113606,27.51015224,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,379.89934079,358.00210612,27.50711627,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,379.89934079,357.52792650,27.48889342,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,380.29963143,357.84404625,27.50104333,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,380.61986395,357.92307618,27.50407997,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,380.94009647,358.08113606,27.51015224,0.01902489,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,380.69992208,358.31822587,27.51925813,-0.03303533,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,380.13951517,357.92307618,27.50407997,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,379.89934079,357.92307618,27.50407997,-0.03303533,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,379.73922453,358.08113606,27.51015224,0.01902489,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,379.73922453,357.84404625,27.50104333,0.02943693,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,379.89934079,357.92307618,27.50407997,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,380.29963143,358.16016599,27.51318787,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,380.37968956,358.39725580,27.52229276,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,450.27047926,425.57274198,29.99087758,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,450.75082863,425.41468191,29.98530768,0.01902489,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,450.75082863,425.41468191,29.98530768,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,451.07106155,425.09856179,29.97416476,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,451.23117801,425.17759182,29.97695088,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,451.23117801,425.09856179,29.97416476,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,451.23117801,425.33565188,29.98252234,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,451.07106155,425.57274198,29.99087758,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,450.19042103,425.57274198,29.99087758,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,449.38983876,425.25662185,29.97973674,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,448.82943117,425.17759182,29.97695088,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,449.14966407,424.78244167,29.96301770,0.03984897,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,450.19042103,424.94050173,29.96859175,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,451.23117801,424.78244167,29.96301770,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,451.87164385,425.25662185,29.97973674,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,452.03176032,425.25662185,29.97973674,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,451.87164385,425.25662185,29.97973674,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,451.55141093,425.88886211,30.00201429,-0.00179920,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,451.15111978,425.33565188,29.98252234,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,450.35053749,425.73080204,29.99644646,0.00861284,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,449.30978053,425.41468191,29.98530768,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,448.42914004,425.17759182,29.97695088,-0.01221124,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,447.22826667,425.17759182,29.97695088,-0.03303533,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,446.34762621,425.09856179,29.97416476,-0.03303533,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
1.00000000,446.10745154,425.57274198,29.99087758,-0.02262329,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94629262
