%Sampling Frequency (Hz): 250
%Filter Frequency (Hz): 10
%Air Density (kg/m^3):  946.970740E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,201.73016129,190.64300574,20.06583127,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,201.81021921,190.24785708,20.04502511,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,201.97033503,190.32688681,20.04918807,0.03005332,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,201.97033503,190.16882735,20.04086128,0.00922924,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,201.97033503,190.08979761,20.03669659,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,201.97033503,189.93173815,20.02836461,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,202.13045086,189.69464896,20.01586014,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,202.37062459,189.85270842,20.02419732,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,202.61079833,189.53658950,20.00751949,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,203.09114581,190.01076788,20.03253103,0.00922924,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,203.17120373,190.08979761,20.03669659,0.00922924,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,203.01108790,189.85270842,20.02419732,-0.03241894,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,203.17120373,189.93173815,20.02836461,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,203.09114581,190.01076788,20.03253103,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,203.09114581,190.16882735,20.04086128,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,203.01108790,190.16882735,20.04086128,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,203.17120373,190.01076788,20.03253103,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,203.25126164,190.24785708,20.04502511,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,203.01108790,190.24785708,20.04502511,0.03005332,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,202.85097207,190.16882735,20.04086128,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,202.37062459,189.93173815,20.02836461,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,202.05039294,189.69464896,20.01586014,-0.03241894,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,202.21050877,190.01076788,20.03253103,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,202.37062459,190.08979761,20.03669659,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,202.21050877,190.16882735,20.04086128,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,257.13025765,240.98496281,22.56013477,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,257.05019968,241.06399260,22.56383370,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,257.53054752,240.82690323,22.55273507,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,257.37043157,240.66884365,22.54533295,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,257.53054752,240.74787344,22.54903431,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,257.77072145,240.58981386,22.54163098,0.00922924,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,258.01089537,240.82690323,22.55273507,-0.02200689,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,257.85077942,240.98496281,22.56013477,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,257.93083740,240.82690323,22.55273507,-0.02200689,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,257.93083740,240.98496281,22.56013477,0.05087741,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,257.77072145,240.82690323,22.55273507,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,258.09095335,240.74787344,22.54903431,-0.02200689,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,257.85077942,240.74787344,22.54903431,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,257.69066347,240.66884365,22.54533295,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,257.53054752,240.74787344,22.54903431,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,257.13025765,240.90593302,22.55643522,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,257.21031562,240.66884365,22.54533295,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,256.81002575,240.58981386,22.54163098,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,256.64990981,241.06399260,22.56383370,-0.03241894,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,256.32967791,241.06399260,22.56383370,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,256.16956197,241.14302238,22.56753204,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,255.84933008,241.22205217,22.57122976,-0.03241894,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,255.68921413,241.45914154,22.58231930,-0.02200689,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,255.92938805,241.14302238,22.56753204,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,256.24961994,241.06399260,22.56383370,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,317.17376513,296.54292767,25.02594600,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,317.73417146,296.93807695,25.04261423,-0.03241894,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,317.49399732,297.33322623,25.05927138,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,317.33388123,297.33322623,25.05927138,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,317.09370709,297.17516652,25.05260985,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,317.01364904,296.78001724,25.03594827,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,316.85353295,296.70098738,25.03261463,-0.03241894,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,316.53330076,297.01710681,25.04594655,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,316.37318467,296.70098738,25.03261463,0.03005332,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,315.97289444,296.78001724,25.03594827,0.03005332,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,316.13301053,296.78001724,25.03594827,-0.03241894,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,316.05295249,296.78001724,25.03594827,-0.07406711,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,316.05295249,296.54292767,25.02594600,-0.06365507,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,316.29312662,296.46389781,25.02261102,-0.02200689,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,316.77347490,296.62195752,25.02928053,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,316.93359099,296.70098738,25.03261463,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,317.17376513,296.78001724,25.03594827,-0.04283098,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,317.25382318,297.01710681,25.04594655,-0.05324302,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,317.17376513,296.85904709,25.03928147,-0.02200689,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,317.17376513,296.70098738,25.03261463,-0.02200689,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,317.01364904,296.70098738,25.03261463,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,316.69341685,296.62195752,25.02928053,-0.05324302,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,316.37318467,296.62195752,25.02928053,-0.04283098,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,315.89283640,296.70098738,25.03261463,-0.05324302,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,315.17231399,296.54292767,25.02594600,-0.06365507,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,380.25953812,356.76370767,27.44966522,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,379.53901496,356.76370767,27.44966522,-0.03241894,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,379.13872432,356.92176754,27.45574516,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,378.25808492,357.07982741,27.46182377,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,377.77773616,357.23788728,27.46790102,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,377.21732928,357.15885734,27.46486256,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,377.05721303,357.15885734,27.46486256,0.00922924,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,376.81703866,357.23788728,27.46790102,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,376.65692241,357.47497709,27.47701439,0.00922924,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,376.73698054,357.07982741,27.46182377,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,376.97715491,357.23788728,27.46790102,0.04046537,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,377.13727116,356.92176754,27.45574516,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,377.37744554,356.60564780,27.44358392,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,377.37744554,356.60564780,27.44358392,-0.02200689,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,377.37744554,356.60564780,27.44358392,-0.00118281,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,377.53756179,356.52661786,27.44054277,-0.01159485,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,377.61761991,356.52661786,27.44054277,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
1.00000000,377.45750366,356.76370767,27.44966522,0.01964128,-49.38597728,-28.02308491,1.37547394,0.00000000,0.00000000,0.94697074
