%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Air Density (kg/m^3):  948.147113E-3,,,,,,,,,,
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1,-0.82043159,-0.41980499,0,-5.05302179,-0.01197314,-0.29684461,0.00129893,0,0,0.94814711
1,-0.01985432,0.13340189,0.53046669,-3.98059631,-0.01869315,-0.2544398,0.00085442,0,0,0.94814711
1,-0.17996977,-0.02465722,0,-3.12682046,-0.01869315,-0.20143378,0.00085442,0,0,0.94814711
1,-1.06060477,-0.5778641,0,-1.98151107,-0.02877317,-0.13075908,0.00076551,0,0,0.94814711
1,-0.74037386,-0.65689365,0,-1.00279184,-0.01869315,-0.0706856,0.00058771,0,0,0.94814711
1,0.46049205,0.21243144,0.66940127,0.05922295,-0.02877317,-0.01591271,0.00005429,0,0,0.94814711
1,0.22031887,0.21243144,0.66940127,1.006707,-0.01197314,0.05652884,0.00058771,0,0,0.94814711
1,0.30037659,0.29146099,0.7840926,1.99583898,0.0081869,0.10246739,0.00076551,0,0,0.94814711
1,2.70210846,1.23981565,1.61717005,2.94332356,-0.01197314,0.17667581,0.00076551,0,0,0.94814711
1,-0.58025841,-0.49883454,0,4.02616339,0.00146688,0.22614809,0.00067661,0,0,0.94814711
1,0.22031887,-0.18271633,0,5.02570816,-0.01197314,0.2844547,0.0004099,0,0,0.94814711
1,-1.1406625,-0.65689365,0,6.08772479,0.02498692,0.37986552,0.00014319,0,0,0.94814711
1,-0.82043159,-0.26174588,0,7.05603435,0.02162692,0.42403719,0.0004099,0,0,0.94814711
1,-0.74037386,-0.34077544,0,7.94104871,0.03170693,0.48941127,0.0002321,0,0,0.94814711
1,-0.2600275,-0.02465722,0,9.01347819,0.03170693,0.54065041,0.00058771,0,0,0.94814711
1,-0.17996977,0.05437233,0.33866173,10.09631994,0.05522697,0.58482208,0.00058771,0,0,0.94814711
1,-0.34008523,-0.02465722,0,11.15833815,0.03506694,0.66256422,0.00049881,0,0,0.94814711
1,-0.17996977,0.05437233,0.33866173,12.04335359,0.06194698,0.70673589,0.00049881,0,0,0.94814711
1,-0.2600275,0.05437233,0.33866173,13.04290071,0.07874701,0.75797503,0.00067661,0,0,0.94814711
1,0.06020341,-0.10368677,0,13.99038836,0.08546702,0.81451476,0.00147674,0,0,0.94814711
1,-0.42014295,-0.02465722,0,15.0315839,0.09218703,0.87988883,0.00103222,0,0,0.94814711
1,0.14026114,0.05437233,0.33866173,16.02071996,0.11234707,0.95409723,0.00183235,0,0,0.94814711
1,-0.34008523,-0.49883454,0,17.16603577,0.13922711,1.00533636,0.00192125,0,0,0.94814711
1,-0.42014295,0.13340189,0.53046669,17.988581,0.12578709,1.0459743,0.00174345,0,0,0.94814711
