%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Air Density (kg/m^3):  948.147113E-3,,,,,,,,,,
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1,314.4474691,297.2060206,25.03836325,-5.0217861,-0.94269478,-0.07421933,-0.02857245,0,0,0.94814711
1,313.6468887,295.3883339,24.96167957,-3.92853682,-0.69405432,-0.04771632,-0.02217144,0,0,0.94814711
1,315.1679915,297.8382594,25.06498084,-2.92899432,-0.52941403,-0.01767958,-0.01808191,0,0,0.94814711
1,313.8070048,295.0722145,24.94831922,-2.03357059,-0.2303735,0.03355957,-0.01256993,0,0,0.94814711
1,319.5711841,301.1575136,25.20426202,-0.96114421,0.03506694,0.08479872,-0.00723575,0,0,0.94814711
1,318.2902553,298.8656476,25.10817424,-0.06571998,0.24674728,0.10953486,-0.00154596,0,0,0.94814711
1,314.9278174,296.3366921,25.00171779,1.03794275,0.53570774,0.15370654,0.00485505,0,0,0.94814711
1,315.8084559,296.3366921,25.00171779,2.04789857,0.75074806,0.18374328,0.0093891,0,0,0.94814711
1,313.8070048,294.9141548,24.94163636,3.02661892,1.01282845,0.21201315,0.0155234,0,0,0.94814711
1,314.287353,294.9931846,24.94497802,4.03657532,1.27490881,0.24028302,0.02050197,0,0,0.94814711
1,315.3281076,295.6254234,24.97169515,5.07776779,1.54706918,0.25971856,0.02556944,0,0,0.94814711
1,317.8899651,297.6801997,25.05832909,5.94195778,1.8729896,0.3003565,0.03197045,0,0,0.94814711
1,318.5304295,299.7349761,25.14466455,6.92067924,2.22579003,0.32509264,0.03828256,0,0,0.94814711
1,317.6497909,297.8382594,25.06498084,7.93063678,2.50803036,0.34452818,0.04352784,0,0,0.94814711
1,320.932171,300.8413941,25.19103032,9.10718563,2.80707069,0.38693299,0.04895092,0,0,0.94814711
1,318.6905456,297.6801997,25.05832909,9.99220053,3.0086709,0.41166912,0.05312936,0,0,0.94814711
1,320.932171,299.3398268,25.12808462,11.02298287,3.36819126,0.43287153,0.0602416,0,0,0.94814711
1,317.809907,296.2576623,24.99838372,12.04335359,3.55971144,0.46997573,0.06548688,0,0,0.94814711
1,317.2495007,297.9172893,25.06830605,13.04290071,3.8553917,0.4876444,0.07348814,0,0,0.94814711
1,318.1301392,297.2850504,25.041692,13.9591525,4.20147199,0.50531307,0.08131161,0,0,0.94814711
1,314.0471789,293.728707,24.89145773,14.96911215,4.43667217,0.53534981,0.08486773,0,0,0.94814711
1,315.8084559,295.4673637,24.96501854,16.0623678,4.90035251,0.59012268,0.09233558,0,0,0.94814711
1,314.1272369,293.2545278,24.87135793,17.0410922,4.90707251,0.65549675,0.08762372,0,0,0.94814711
1,309.4838706,288.2756473,24.65932091,18.0198169,5.02803259,0.70143529,0.08735701,0,0,0.94814711
