%Sampling Frequency (Hz): 250
%Filter Frequency (Hz): 10
%Air Density (kg/m^3):  939.873005E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,-0.13898021,0.11569927,0.49618738,-5.05185267,-0.07536839,-0.34078183,-0.00018129,0.00000000,0.00000000,0.93987300
1.00000000,0.10119297,-0.04235984,0.00000000,-4.10437054,-0.08544840,-0.28424208,-0.00018129,0.00000000,0.00000000,0.93987300
1.00000000,0.26130842,0.11569927,0.49618738,-2.99029782,-0.08208840,-0.21180052,-0.00044800,0.00000000,0.00000000,0.93987300
1.00000000,0.10119297,-0.04235984,0.00000000,-1.93869616,-0.06528837,-0.14996016,-0.00089251,0.00000000,0.00000000,0.93987300
1.00000000,0.18125070,-0.20041895,0.00000000,-0.98080130,-0.07536839,-0.09518727,-0.00035909,0.00000000,0.00000000,0.93987300
1.00000000,-0.05892249,-0.12138939,0.00000000,0.11244857,-0.06864838,-0.01214451,-0.00071470,0.00000000,0.00000000,0.93987300
1.00000000,0.26130842,0.03666971,0.27934067,1.02869635,-0.05520835,0.04969584,-0.00044800,0.00000000,0.00000000,0.93987300
1.00000000,-0.21903794,0.27375837,0.76324526,1.99700392,-0.07872839,0.11683679,-0.00080361,0.00000000,0.00000000,0.93987300
1.00000000,-0.13898021,0.19472882,0.64371781,3.09025471,-0.04176833,0.19457894,-0.00035909,0.00000000,0.00000000,0.93987300
1.00000000,0.26130842,0.03666971,0.27934067,4.08979860,-0.04176833,0.25995302,-0.00035909,0.00000000,0.00000000,0.93987300
1.00000000,-0.21903794,0.03666971,0.27934067,5.13099045,-0.03504832,0.32179337,-0.00062580,0.00000000,0.00000000,0.93987300
1.00000000,0.02113524,0.27375837,0.76324526,6.12012300,-0.04848834,0.38893431,-0.00062580,0.00000000,0.00000000,0.93987300
1.00000000,0.02113524,0.11569927,0.49618738,7.06760813,-0.05184835,0.45607526,-0.00000348,0.00000000,0.00000000,0.93987300
1.00000000,0.18125070,0.03666971,0.27934067,8.04632930,-0.04176833,0.51438186,-0.00035909,0.00000000,0.00000000,0.93987300
1.00000000,0.02113524,0.03666971,0.27934067,9.01463883,-0.03504832,0.59035714,-0.00044800,0.00000000,0.00000000,0.93987300
1.00000000,0.02113524,-0.20041895,0.00000000,10.06624410,-0.03168831,0.66279868,0.00017432,0.00000000,0.00000000,0.93987300
1.00000000,-0.13898021,-0.20041895,0.00000000,11.00331838,-0.04512834,0.71933842,0.00008542,0.00000000,0.00000000,0.93987300
1.00000000,-0.05892249,0.03666971,0.27934067,11.98204069,-0.03504832,0.78471249,-0.00009238,0.00000000,0.00000000,0.93987300
1.00000000,0.10119297,0.03666971,0.27934067,13.02323494,-0.03504832,0.86422149,0.00097445,0.00000000,0.00000000,0.93987300
1.00000000,-0.05892249,0.03666971,0.27934067,14.15813704,-0.04512834,0.90485942,0.00115226,0.00000000,0.00000000,0.93987300
1.00000000,-0.13898021,-0.35847805,0.00000000,15.06397660,-0.03168831,0.97023349,0.00177458,0.00000000,0.00000000,0.93987300
1.00000000,0.10119297,0.11569927,0.49618738,16.08434791,-0.00480827,1.04974249,0.00221909,0.00000000,0.00000000,0.93987300
1.00000000,0.10119297,-0.20041895,0.00000000,17.04224778,-0.02160830,1.09214728,0.00213019,0.00000000,0.00000000,0.93987300
1.00000000,0.10119297,0.03666971,0.27934067,18.02097185,-0.01488829,1.17165628,0.00319703,0.00000000,0.00000000,0.93987300
