%Sampling Frequency (Hz): 250
%Filter Frequency (Hz): 10
%Air Density (kg/m^3):  937.459352E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,314.95215366,297.17314276,25.17929427,-5.02969575,-0.15624772,0.04238177,-0.02893351,0.00000000,0.00000000,0.93745935
1.00000000,310.78913552,292.98456049,25.00121657,-4.08221369,-0.11592766,0.08832032,-0.02262141,0.00000000,0.00000000,0.93745935
1.00000000,311.58971591,293.69582916,25.03154548,-3.03061243,-0.00504747,0.16076187,-0.01257537,0.00000000,0.00000000,0.93745935
1.00000000,312.31023827,293.61679930,25.02817741,-1.95818707,0.03527260,0.19609921,-0.00590765,0.00000000,0.00000000,0.93745935
1.00000000,316.87354674,297.48926218,25.19268301,-0.89617329,0.09911270,0.24557149,0.00200471,0.00000000,0.00000000,0.93745935
1.00000000,313.11081868,293.93291871,25.04164695,0.04089796,0.16631281,0.29857751,0.00956146,0.00000000,0.00000000,0.93745935
1.00000000,315.43250193,296.77799347,25.16254832,1.00920517,0.23687292,0.35688412,0.01658479,0.00000000,0.00000000,0.93745935
1.00000000,307.26658192,288.08470989,24.79127593,2.03998411,0.35111311,0.40812326,0.02476387,0.00000000,0.00000000,0.93745935
1.00000000,309.98855514,291.56202318,24.94044812,3.07076336,0.41831321,0.46112927,0.03312074,0.00000000,0.00000000,0.93745935
1.00000000,318.23453354,298.04247119,25.21609620,4.08071907,0.52583338,0.50883468,0.04298897,0.00000000,0.00000000,0.93745935
1.00000000,308.62756852,288.95403819,24.82865300,5.06985124,0.55943343,0.54593889,0.04663400,0.00000000,0.00000000,0.93745935
1.00000000,308.54751048,289.66530681,24.85919244,6.10063137,0.64007355,0.61661356,0.05650223,0.00000000,0.00000000,0.93745935
1.00000000,318.79493988,298.04247119,25.21609620,7.00646871,0.73751370,0.66785270,0.06743730,0.00000000,0.00000000,0.93745935
1.00000000,311.82989003,291.72008288,24.94720748,8.04766135,0.77783376,0.72439244,0.07526076,0.00000000,0.00000000,0.93745935
1.00000000,311.02930964,291.16687393,24.92354169,9.12009011,0.84839386,0.79330024,0.08504009,0.00000000,0.00000000,0.93745935
1.00000000,314.47180540,294.17000827,25.05174435,10.10922372,0.94919401,0.84807311,0.09428600,0.00000000,0.00000000,0.93745935
1.00000000,313.83134106,291.95717243,24.95734308,11.08794568,1.03655414,0.88871105,0.10193166,0.00000000,0.00000000,0.93745935
1.00000000,318.31459159,296.77799347,25.16254832,12.05625598,1.14407429,0.93288272,0.10877720,0.00000000,0.00000000,0.93745935
1.00000000,315.59261801,294.17000827,25.05174435,12.99333073,1.30199451,1.02122605,0.10833268,0.00000000,0.00000000,0.93745935
1.00000000,311.74983199,289.66530681,24.85919244,14.08658494,1.43975470,1.07069832,0.11037745,0.00000000,0.00000000,0.93745935
1.00000000,315.35244388,293.85388886,25.03828025,15.01324830,1.65479498,1.14313985,0.11571163,0.00000000,0.00000000,0.93745935
1.00000000,313.19087672,291.95717243,24.95734308,16.05444341,1.96727538,1.20851391,0.12477974,0.00000000,0.00000000,0.93745935
1.00000000,310.22872925,289.90239636,24.86936391,17.06440297,2.09159553,1.22971631,0.13251431,0.00000000,0.00000000,0.93745935
1.00000000,318.87499793,295.03933666,25.08873338,18.00147912,2.56535608,1.30569157,0.14104900,0.00000000,0.00000000,0.93745935
